trial_number,value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample
0,0.1799069766712572,0.6202459117442001,1.7120619632409997,0.0026708471302597974,25,10,1.459794532075018,0.7384494197385233
1,0.15954200235251634,0.7013477419934502,0.008020827926958693,0.00617012573686435,20,9,4.9987822391728916,0.7302761868971932
2,0.16949555711741415,0.9705649760995199,1.1716033833540658,0.006021897482062663,12,2,4.137370998866477,0.9598436515923294
3,0.17721760485885307,0.6589888474730069,0.3305949625951484,0.00411716077726196,30,1,3.4491551401616576,0.8802936567537483
4,0.15935636681804985,0.7471853963089385,0.021622619088892098,0.0032869813999247596,21,6,3.797832784236983,0.6480981320182311
5,0.16261086298110003,0.7342540516542702,0.0010585798891264715,0.006773833351864301,28,1,0.8761542273307789,0.8485058219723346
6,0.16810131119076693,0.7146620109790077,0.001213034968854634,0.006725382966536503,22,3,0.5475286454111481,0.9657654172947933
7,0.16922926105657163,0.9133417924738826,0.22011803665543148,0.004926371686816994,9,2,2.620555663699084,0.8680501542575293
8,0.16314369927433936,0.841748904746464,0.9719764237771791,0.0053970378028558195,5,4,2.117728010047416,0.9652521925874414
9,0.1638150918636206,0.8826518987366073,0.010622383958727201,0.006354009533647021,13,5,1.9828530659648682,0.9622579290273205
10,0.15993333577343263,0.793762380666415,0.039171316092856505,0.01593418013905953,17,7,1.2247013821859236,0.6163285579909987
11,0.17495797423454654,0.683087331726201,0.009156136373306601,0.012743579147148198,20,8,4.781100636003896,0.6713223972102721
12,0.16357061663111555,0.7757665040484826,0.008957271846398374,0.02902507008137238,19,10,3.2524429040038227,0.6976325327596266
13,0.16894279696540623,0.620457200099933,0.039680145400107156,0.00213978752816455,24,7,4.8922625692617325,0.6060858767972119
14,0.16079932709069392,0.7297950330051907,0.005250176678296089,0.003204299902341095,15,8,2.901744241487449,0.6641864994055847
15,0.16365280710446295,0.8130027132993314,0.10552266917523435,0.0036712594218006713,26,6,3.817552597965877,0.7799973899578304
16,0.18131885460884734,0.6743477572175284,0.00331956128689438,0.009272760526729444,20,9,2.1938318673538695,0.7614083252257954
17,0.1623121099171302,0.7468550740565081,0.02645790310229405,0.010027574756588123,23,5,0.9602481123414158,0.7200067199486144
18,0.1804506469947154,0.6548581851555458,0.018787680333552183,0.002129024879291012,17,6,2.595599037743679,0.639679257683586
19,0.162286602052362,0.7009521163704819,0.07413067777920862,0.00335511455681571,9,9,4.87809596268126,0.8076761861971671
20,0.17917704077306879,0.6004946074947034,0.002349917908062311,0.020676565034360477,21,7,1.6702419816492415,0.6918425671708496
21,0.1599394743395939,0.7735801513481845,0.01843924818881364,0.013739561363769331,17,7,1.1054714961461019,0.6094992020857488
22,0.16130346196760656,0.797884987350581,0.07768086361842401,0.016597340898857546,15,8,1.4312609751251926,0.6386174515810756
23,0.1654386755648469,0.8517925563851008,0.0425026688136602,0.009431559167205497,18,9,0.6290934125342696,0.6380332063037322
24,0.16057462330926403,0.7522032983360115,0.15753513217409948,0.004559006870639773,16,6,1.3465488606634142,0.6672626712987768
25,0.16151009819678178,0.7932821971384489,0.005096948878066269,0.0200578927865247,13,7,0.7395126085154732,0.6030402157981752
26,0.1652532070619659,0.8345281641775637,0.014590424425489999,0.008093468437434324,22,4,1.1673806128179196,0.7185674059987375
27,0.15912516377789568,0.7656958753409763,0.032572767387721156,0.0027520810919865594,26,8,4.049750238909003,0.6286954866985712
28,0.16217796452860267,0.7006229806398538,0.005488256273511528,0.002695356422920813,28,9,3.9887655181559336,0.6933645343222531
29,0.1779338411448983,0.6305904608150708,0.4131754637795924,0.0027430547865078866,26,10,3.205495616642212,0.7627429867123672
30,0.16370686545865618,0.7593991112551917,0.02618706821518104,0.0023513498679903896,25,8,3.738208586522917,0.7401225535608239
31,0.16054515751007573,0.7181853757256438,0.0674775538101863,0.0030423054794511376,19,8,4.335254596061147,0.6285756321840149
32,0.16381858251703077,0.8181200341420575,0.02453354454484935,0.003990207814508265,24,7,1.5828302068525482,0.6221429412394366
33,0.16927632983964844,0.9998498146294321,0.043223545600897056,0.005440770397185515,28,6,4.309197869146015,0.6562530573109213
34,0.16545000089351175,0.7849215250419159,0.009986834440643164,0.011184227123615885,30,10,2.660953688703593,0.9090005290643763
35,0.16330314516358965,0.872342857687576,0.13216803364595633,0.007406374394653264,22,5,1.8015261014638861,0.6188082674621161
36,0.1674542454519822,0.7328308009097505,0.002299700197697363,0.004002515935141677,11,9,3.3811415838983025,0.8147666506804488
37,0.16753590197891088,0.9179488479114997,0.014279225340695183,0.0024676208612343584,21,8,1.217530625759415,0.6500330820828475
38,0.18392100684150975,0.6508899450402823,0.03072404030694518,0.004681017758904354,15,4,2.3104797265017463,0.997937280591982
39,0.17568085771595565,0.6941044018918815,0.06138161123213696,0.023488257603009044,18,7,0.9802742954373302,0.6892426936219749
40,0.15950651331431134,0.7599436377006995,0.2456237767529669,0.005935572205505739,23,3,4.455973715953068,0.6732280702103189
41,0.15942749395036362,0.7589593836527382,0.4635927433909572,0.005869316320215682,26,2,4.377025144886088,0.6781067703438842
42,0.15875283574838855,0.7606228391309149,0.5976498120474448,0.0058571096272947674,26,2,4.344070694315505,0.7129133044028776
43,0.15950035641047808,0.7606410726024,0.5968943273039231,0.0056492902677247455,27,2,4.289404036547121,0.6792297137104518
44,0.15984245162097627,0.7253663487833653,1.7991416437457561,0.007574329457205612,28,2,3.656426015357843,0.7082193839728276
45,0.16316576253503604,0.748636811391631,0.6711370058890042,0.005384030780410211,27,1,2.9083120414588888,0.677574380654024
46,0.16316611970399492,0.8086701141927114,0.9457563050798096,0.006635084476706079,29,3,4.110842236716779,0.6532814159972897
47,0.1626361259462035,0.7661595536330845,0.4537720981551549,0.004410952879515637,26,1,3.058589195852556,0.7482459295388384
48,0.15970793554574964,0.7389398863551409,1.3034644845113275,0.003537587347606117,25,2,3.490269376829649,0.7078613240798841
49,0.1643702497996727,0.7761309830126683,0.7270933325404982,0.0029216838027806484,30,3,4.99820531739718,0.6784795870491512
50,0.1630661540370023,0.8271691699675477,0.2650940352969515,0.005028370787515695,27,2,4.487369264978576,0.6433479664905569
51,0.1585530629017896,0.7148055853794009,0.22143586010423846,0.005787359793226565,24,2,4.519862618595043,0.6799036123839768
52,0.15984255497989636,0.7186042596177004,0.5571664400177679,0.005906801405888245,24,2,3.9006602071166605,0.7219631191136711
53,0.1767460228802516,0.6825195408050367,0.37796882598144277,0.0037732936112372956,27,1,4.571620860952648,0.6644164583546845
54,0.16451534085100186,0.7122833922200946,0.970140317416636,0.008152220632349959,24,3,3.4709899756282128,0.7042092159514851
55,0.1593854259731201,0.7445492819844094,0.1886782828069077,0.007060961248286198,25,4,4.071130586832153,0.629970718868
56,0.15448429769786892,0.73833463821771,0.30287928828689015,0.006958516750421324,4,4,3.9805829704243174,0.627152451498519
57,0.15462897459179448,0.7408418567170741,0.1923696944945242,0.008805922214258643,4,4,2.4635894318745715,0.6294686953679448
58,0.15898345524310348,0.707659860180063,0.0944037033204033,0.01033772857766604,6,5,2.55908592223285,0.6176564206649257
59,0.15246462563850818,0.711441102905864,0.13694002529052077,0.008528248734529969,4,5,2.433733665241732,0.6122262781880273
60,0.15929502079470415,0.6620023151801033,0.0992801235348152,0.009179023860904178,4,5,2.406388940363569,0.6156773684895719
61,0.1591268728777072,0.7104981304287327,0.3002377501425177,0.010959149305807023,6,5,1.8462072919605226,0.6010690110446879
62,0.17089723199154627,0.6722360337618338,0.17623420716597202,0.00842150404627289,6,4,2.58543103822304,0.6264540627165517
63,0.17760599744861275,0.6865387606632172,0.11381972325919683,0.012771432017905442,7,4,2.8217090699169853,0.6116348482302469
64,0.1544979789221138,0.73345838051941,0.05610143791840913,0.010265778886018581,4,5,2.0944302528763052,0.6352059594688643
65,0.15463122507445531,0.7031231949849301,0.13984737098385894,0.010611756501617366,4,5,2.069642505589757,0.6599633530728395
66,0.1545419210319036,0.7309736118498809,0.14315411295603953,0.008810964012674364,4,4,2.097301649799067,0.6373551387964945
67,0.15455549109790376,0.73058905841243,0.14113330227337878,0.013961216486115332,4,4,2.0589786108356862,0.6383667621208338
68,0.15450056679799315,0.730680831059418,0.05307105704953345,0.014474257926556575,4,4,2.066561550145685,0.6354458930332673
69,0.15756158602127335,0.7294507715724743,0.08309023815205069,0.014633002748245395,5,4,1.9225496693374786,0.6373404409852872
70,0.1650107993892281,0.7376154470597923,0.050657309245347976,0.012400442839456821,8,4,1.684374471464063,0.6473507591849658
71,0.15901582283443322,0.6968490684939692,0.135515149944685,0.008842914434853019,4,5,2.0214952450432344,0.6347367323536688
72,0.1574832006777994,0.7250216138878278,0.0576743068347822,0.011670597077862855,5,4,2.1011605847860726,0.6571879098546423
73,0.15248844219148838,0.7417356599568548,0.14497900299065078,0.01550610884808206,4,5,2.2598066350341957,0.6000044761510396
74,0.16055464989900417,0.7817074528439294,0.19795098114208862,0.01810090049878728,7,6,2.3333372323605985,0.6062382926699148
