iter	RMSE
0	0.9972749194
1	0.9945787353
2	0.9919145135
3	0.9892355804
4	0.9865175474
5	0.9838552063
6	0.9811847704
7	0.978549229
8	0.9759120164
9	0.9732639056
10	0.970627521
11	0.968016761
12	0.965387769
13	0.9628008082
14	0.9602121697
15	0.9576486411
16	0.9550660721
17	0.952508147
18	0.9499383504
19	0.9474047265
20	0.9448503197
21	0.9423392062
22	0.9398166685
23	0.9372879887
24	0.9347346092
25	0.9322290933
26	0.9297531128
27	0.9272825259
28	0.9247615687
29	0.9223038493
30	0.9198384613
31	0.9174022921
32	0.9149610535
33	0.9125207505
34	0.9100845879
35	0.9076713396
36	0.905246259
37	0.9028142847
38	0.9004328068
39	0.8980312118
40	0.8956384714
41	0.893256527
42	0.8908874427
43	0.888486499
44	0.8861616466
45	0.8838351772
46	0.8815166779
47	0.8791741095
48	0.8768445838
49	0.8745222435
50	0.8722009718
51	0.8699010866
52	0.8676036188
53	0.865314129
54	0.8630098996
55	0.8607367506
56	0.8584685806
57	0.8562311189
58	0.853980534
59	0.8517353615
60	0.8495204543
61	0.8472649418
62	0.845040171
63	0.8428416377
64	0.8406546895
65	0.8384343851
66	0.8362429724
67	0.8340549339
68	0.8318387793
69	0.8296858908
70	0.8275163678
71	0.8253492782
72	0.8232001768
73	0.8210913902
74	0.8189483029
75	0.8167893064
76	0.814666872
77	0.8125148769
78	0.810407931
79	0.8083024799
80	0.8062065995
81	0.804110202
82	0.8020289716
83	0.7999367879
84	0.7978655913
85	0.7957760964
86	0.7937369682
87	0.7917068345
88	0.789635757
89	0.7875977812
90	0.7855879142
91	0.7835674041
92	0.7815487549
93	0.7795644723
94	0.7775824767
95	0.7756106844
96	0.7736200533
97	0.7716078437
98	0.7696510368
99	0.767676707
100	0.7657129156
101	0.7637554695
102	0.7618044501
103	0.7598387773
104	0.757898345
105	0.7559645483
106	0.7540594929
107	0.7521609339
108	0.7502433759
109	0.7483166262
110	0.7464148055
111	0.7445196823
112	0.7426310498
113	0.7407557831
114	0.7388822125
115	0.7370382714
116	0.7351579774
117	0.7332717833
118	0.731407518
119	0.7295612008
120	0.7277418185
121	0.7259260492
122	0.7240978927
123	0.7222465012
124	0.7204257068
125	0.7186009295
126	0.7167796221
127	0.7149607382
128	0.7131691264
129	0.7114064678
130	0.7096114635
131	0.7078592014
132	0.7060839784
133	0.704309612
134	0.7025310859
135	0.7007627243
136	0.6990473975
137	0.6973022904
138	0.6955630106
139	0.6938542684
140	0.6921176862
141	0.6904001976
142	0.6886916903
143	0.6870057925
144	0.6853230057
145	0.6836253168
146	0.6819556324
147	0.680306672
148	0.6786142359
149	0.6769642931
150	0.6752998513
151	0.673620665
152	0.6719613099
153	0.6702964925
154	0.6686097642
155	0.6669718209
156	0.6653097502
157	0.6636565672
158	0.6620269843
159	0.6604093337
160	0.6587959278
161	0.6571956941
162	0.6556131244
163	0.654024478
164	0.6524769554
165	0.650852039
166	0.6492386449
167	0.6476539107
168	0.6460488955
169	0.6444866532
170	0.6428927787
171	0.6413335178
172	0.6397703898
173	0.6382383786
174	0.6366981004
175	0.6351546627
176	0.6335937509
177	0.6320661854
178	0.6305232068
179	0.6289881407
180	0.6274668246
181	0.6259360913
182	0.6244372352
183	0.6229482168
184	0.621454875
185	0.6199864297
186	0.6185312205
187	0.617049219
188	0.6155742341
189	0.6141148068
190	0.612631297
191	0.6111652626
192	0.6097033113
193	0.6082393353
194	0.6067605564
195	0.6053272091
196	0.6038887101
197	0.6024449522
198	0.6010048075
199	0.5995655841
200	0.5981262221
201	0.596696574
202	0.5952680636
203	0.5938605298
204	0.5924302099
205	0.5910183118
206	0.5896045147
207	0.5882139788
208	0.5868320132
209	0.5854233854
210	0.5840596307
211	0.5826919719
212	0.5812891967
213	0.5799524515
214	0.5786191776
215	0.5772555318
216	0.5758931761
217	0.5745379332
218	0.5731814537
219	0.5718453852
220	0.5705377647
221	0.5692454417
222	0.5679328441
223	0.5666386327
224	0.5653335458
225	0.5640311082
226	0.5627130772
227	0.5614049705
228	0.5601186418
229	0.5588384274
230	0.5575465281
231	0.5562447156
232	0.5549306377
233	0.5536495187
234	0.5523702215
235	0.5510778069
236	0.549822441
237	0.5485744791
238	0.5473397143
239	0.5460996433
240	0.5448668113
241	0.543613928
242	0.5424008368
243	0.541163999
244	0.5399512295
245	0.538718199
246	0.5375101102
247	0.5362912259
248	0.5351076351
249	0.5339085256
250	0.5326973634
251	0.5315173315
252	0.530344692
253	0.5291549222
254	0.5279697715
255	0.5268051389
256	0.5256185326
257	0.5244321939
258	0.5232157742
259	0.5220359739
260	0.5208814436
261	0.5197368198
262	0.5186064121
263	0.5174587264
264	0.5162964926
265	0.5151651676
266	0.5140165071
267	0.5128639497
268	0.5117306673
269	0.5105934619
270	0.5094829872
271	0.5083715536
272	0.5072681263
273	0.5061424535
274	0.5050517785
275	0.5039782181
276	0.5029032075
277	0.5017892153
278	0.5006870492
279	0.499612706
280	0.4985067105
281	0.4973931527
282	0.4962993928
283	0.4952080426
284	0.4941320956
285	0.4930602304
286	0.4920104519
287	0.4909625522
288	0.4898968705
289	0.4888122286
290	0.487754589
291	0.4866936835
292	0.4856417418
293	0.4846151478
294	0.4835327719
295	0.4824942604
296	0.4814613311
297	0.4804334133
298	0.4793911689
299	0.4783546082
