trial_number,value,batch_size,dropout,history_length,learning_rate,num_layers,units,weight_decay
0,0.35326960947877634,118.2792315940172,0.4768921097670861,66.70643198602787,0.0005480556548391038,6.960054321259708,348.26448134528505,0.00912395859314704
1,0.34403971265889927,88.74400005434643,0.4095704556899105,255.9603146587671,0.00033521647626104086,11.351602221615675,336.1492748007763,0.0035918948175450273
2,0.34752170853986,128.30398065127423,0.44179017133993714,166.45629340055152,0.0008815577493653631,11.906051766281816,379.40458907847324,0.0016797403718071292
3,0.347617886793203,253.36645366581362,0.44329427609750455,190.67417423752644,0.0008664586519956841,15.89823268094508,137.89783191199678,0.0009258673744875987
4,0.3520391566132357,67.31183540154368,0.4660626682738115,100.54117878827606,0.0011183330627695565,13.871485067160858,190.1321621605906,0.00012755870640331196
5,0.34763878262685444,160.55542713372384,0.37734131510237856,163.32847711583617,0.00044116302004978345,6.768564219901123,129.0071782160035,0.009930413766783698
6,0.34496299928712276,233.66368131875262,0.20111406116012248,197.78293991314555,0.0002333128014775215,9.372950003827167,168.39766962579128,0.003444443561792984
7,0.3510308271017439,183.64840122916954,0.3604559612469296,114.03467773160381,0.0007453671101424539,15.890156431163511,350.88552718417174,0.0020521189025027647
8,0.34832831728244257,232.6270571780278,0.36734690117686497,176.92368329165356,0.0006240043382460946,14.46477848212916,209.35209812965772,0.0007140743573316442
9,0.19505991601123068,198.6244966270852,0.24109143737747457,116.51283443962133,0.0008698564174034763,2.6530240478067952,300.3422082183082,0.004912638230245972
10,0.22219997546273076,200.56772414453246,0.25776246047774676,121.3612259159925,0.0018419180172871683,2.080045344179263,274.06430708159746,0.0002932818684752184
11,0.21887653536849214,195.0600625407127,0.2636378780685975,122.21766968952701,0.0019873415267432338,2.8582850992367144,277.65885663894693,0.00028430606401200984
12,0.19432464525505097,198.06541735595215,0.279554157419605,133.1469932477135,0.001987197277159463,2.089838579639226,277.45623753083504,0.0003677028438373413
13,0.199022107823434,161.2914479596438,0.296030709037595,83.53682767287356,0.0013260550846652122,4.638637025696076,243.1575573332252,0.000590653736999412
14,0.18391597342348384,220.73004744047603,0.30747958365328415,138.7760180008051,0.0013705304165942006,4.558442663236731,293.1300358482337,0.00038934711677389476
15,0.22767863637672928,218.49085752913112,0.31417195605482706,134.22874111398608,0.0014995690641166327,4.796955827922269,308.10042849366135,0.00029755932185357263
16,0.23657936155015302,255.45797596781722,0.31485757952761106,143.96645984060467,0.0012778825854933592,4.638592421847062,230.59545319220774,0.00017396776079145568
17,0.34610854005831443,137.70212188198886,0.2945008492760756,225.58801845722883,0.0017302905311174146,7.2119156973658765,312.8301526044519,0.0004324247084165942
18,0.23705968354901155,174.82053702364647,0.2120200814260334,138.1262720183464,0.0010917169499095535,3.800956489169744,270.7342381289649,0.00010168152215385289
19,0.3515750643557417,220.07548082796401,0.3287301950718053,93.50088384227851,0.001504074227575512,9.001225644443858,228.39868191714683,0.001417702230897706
20,0.27426978796051293,211.09745483559237,0.26538076846226294,151.67200613357136,0.001998560339226835,5.770725046642875,255.97801456946567,0.00019441011145747512
21,0.21749646522238583,186.27045608543904,0.23356306443297986,107.81896041032704,0.0010674635230489824,2.3224698386331353,303.6850753062372,0.0005899184615790467
22,0.2079601552315101,233.18199100644438,0.2397359336618941,132.48261944414054,0.0008396608463297105,3.4259497441050586,293.0730994513792,0.005383079227633749
23,0.23808157594573354,205.77999709612334,0.28331196209489834,65.66951522986662,0.001452812469669419,2.00950338569126,317.2557469128106,0.00041353722718717446
24,0.19044588573143154,172.14076428835074,0.3368784007455252,89.28739811534884,0.0010582902605500428,3.600216965277774,285.6594611521096,0.001200447387136693
25,0.21874830844159612,174.16827567142062,0.3275962402558418,83.24480742567525,0.0016437900361492958,5.574415527487026,258.3871118325195,0.0010510302465042754
26,0.23399677062239832,147.47887271687273,0.38963329646976175,87.94435838219319,0.0012012757847700921,3.7788733191473103,329.2773142338375,0.0010612838023994554
27,0.3499739271415743,173.11536026751216,0.33945752645035987,152.51128035895735,0.0010148120388272486,8.091908366860638,284.83923121726343,0.0004183787259481759
28,0.2684336823048795,149.14788819422822,0.34446736033460895,179.30933899645916,0.0013244687981017844,5.761409972526434,374.6971487519561,0.00020254243935175203
29,0.19539117702467,242.19057421473238,0.39657942042592487,77.49548060909783,0.0006755523349085355,3.8552116189469414,262.100292689563,0.0025112635566914253
