trial_number,value,batch_size,d_model,dim_feedforward,dropout,history_length,learning_rate,nhead,num_encoder_layers,weight_decay
2,0.34704789460100083,220,112,518,0.10865016010096272,111,0.0011217400400897022,4,2,0.004252361603352447
13,0.3458696899739366,75,64,593,0.23084745799810222,35,0.0008371513509554105,4,3,0.004891644184522169
14,0.40675744966224386,72,64,608,0.23353047259106618,71,0.0002957343149053809,4,3,0.000613357495857517
22,0.38486196439574616,87,80,680,0.1811975178463915,79,0.00019570960130594605,4,4,0.0050314386295273175
26,0.36604757789340053,84,80,819,0.10500634890672639,56,0.0004232719475351486,4,6,0.006054052808387449
28,0.46270264240004266,147,108,944,0.06499289151184141,33,0.0011852016599327865,4,6,0.005791125304657988
29,0.3797613265530259,221,128,811,0.13095961360038746,46,0.0009155747530140944,8,2,0.009305242741003776
30,0.47981847792255633,200,80,472,0.09469419585933443,57,0.0017288973099780034,4,6,0.0010534671238641316
36,0.36965514864191157,179,108,835,0.10395359387946057,42,0.0009054460425718677,4,2,0.006814510231190036
40,0.4894509044869461,195,88,753,0.1192116723275064,40,0.0014448308759980601,4,5,0.006261032153241136
44,0.499809014581876,186,112,643,0.13505258213396154,42,0.0019906406201195023,16,2,0.004159834613462265
46,0.4557921205677332,77,140,858,0.1591003527063828,36,0.0009624585071627013,4,2,0.0016593703851837923
50,0.3187229262023676,243,120,498,0.08304726244640527,125,0.0003283543425375027,4,5,0.003335795512406794
59,0.3397197521219868,130,64,501,0.20848515484124497,34,0.00023646670512467987,16,6,0.005469665053939374
62,0.342307362673262,145,64,450,0.2504769840389029,37,0.00029971019765413716,16,6,0.0034953235128252456
66,0.38380459805685047,144,64,468,0.2967712733674143,39,0.00022078269854492152,16,6,0.0036947060527938573
76,0.3710251159733967,168,64,666,0.09232112021961197,38,0.00023760580542574557,8,6,0.002282774991359225
77,0.3654951538836922,159,64,671,0.10230311021377371,37,0.0002994946228410017,16,6,0.003463908209920698
81,0.3387835197971862,173,64,665,0.09254160347407538,39,0.00023623843758430326,16,6,0.0023454919097299506
86,0.4371377448435815,106,64,508,0.10011635326202105,39,0.00033555818586119407,16,6,0.0032663094226849875
93,0.3315321503780705,177,72,677,0.09565518599025694,38,0.0002499314071411263,8,6,0.0027227409313919084
96,0.35833573775233596,150,88,408,0.11991605680231589,41,0.0002711539172983645,4,3,0.0002734491684701372
101,0.42873004901175676,166,104,423,0.12277330531652553,36,0.00023307608737308414,4,3,0.003945314683774292
114,0.3441447043539124,171,64,532,0.10287046118224381,37,0.0006904784607952019,8,6,0.0020343661964010275
116,0.5510523291008793,89,64,568,0.09895759335933352,41,0.0010688806248069257,16,6,0.0038598369310629504
117,0.5276384155990965,183,236,540,0.11286581469824476,93,0.0007162771688988205,4,6,0.0011617982643801691
120,0.3303190901355688,171,72,772,0.11833897012158573,52,0.0009607426986235947,8,2,0.004696916964543426
125,0.4248273554765896,161,136,802,0.11089328386954249,39,0.0011286564654947769,8,2,0.005588212685372689
126,0.36293023556964055,200,64,488,0.11519903066694255,80,0.00054341952370208,4,6,0.008239190132027459
128,0.3698075371576804,199,64,458,0.1278877947955222,60,0.0004808057256571352,4,6,0.00880954906604337
131,0.4304928135265619,232,72,522,0.1068587336483174,81,0.0006976289143889612,4,6,0.00825160756196801
132,0.3941056825922982,184,64,700,0.1144821741496905,43,0.0009327099562659316,4,6,0.0066990046375770985
141,0.3676653339496666,199,64,466,0.13005899787058542,53,0.0003552990906828238,4,6,0.008921825067402692
142,0.3510645386464532,205,64,257,0.19968979530716413,124,0.0003709790970646243,4,6,0.009622304840064596
143,0.4299253339616998,196,72,314,0.20700873681890228,124,0.000353595320714614,4,6,0.00890960332639703
144,0.3853225693584426,206,64,261,0.19118444967993614,119,0.00037018317498521924,4,6,0.007440760334935891
145,0.372794466411852,219,68,292,0.22864080889117483,112,0.0003393187013632638,4,6,1.087142874749451e-05
146,0.3511505192860376,204,76,484,0.0838993690723169,117,0.00039495803632061616,4,6,0.006322862208967835
153,0.3633726353762204,191,64,429,0.08872934152293449,135,0.0003164631751768895,4,6,0.00696298379550544
154,0.32380519621759835,187,72,416,0.08958634979719178,142,0.0003161522576999192,4,6,0.006592720743730542
156,0.38759456909918377,196,76,361,0.09018262650801065,144,0.0003094472520151802,4,6,0.005591606409628678
158,0.33345543646944814,191,64,450,0.08741017652571167,151,0.0003303810235368182,4,6,0.0031510570962275967
162,0.3756279231807147,196,64,436,0.08209961833979502,149,0.0002710438998890441,4,6,0.004141746281863785
164,0.4054511386815137,190,64,504,0.09146943949804778,126,0.0003519459644016795,16,6,0.0025681749033705744
165,0.415984962470942,169,76,479,0.09395854373819297,117,0.0003042678617958382,4,6,0.0015443312343652708
169,0.35595377799910305,173,68,384,0.07714739454309863,129,0.0004004510533288819,4,4,0.004363673192183985
170,0.3450625178510281,184,68,353,0.07726461631214977,131,0.0003949834297514609,4,3,0.006176559041808233
174,0.407511014907295,166,64,386,0.07620253328688996,160,0.00037033094683111843,4,3,0.005427384829548821
177,0.38471174991065527,198,76,495,0.06179235172806629,129,0.0006017186359747086,4,3,0.0031864162198873705
179,0.3718630461764379,173,68,421,0.23988479795835216,123,0.00021984371420067053,4,3,0.009849459201427596
180,0.3627831527596274,188,72,516,0.08675939432199475,153,0.00032707676515790956,8,4,0.0038928900319048203
181,0.38375517045274193,188,72,518,0.07965903704624144,152,0.0003288111742799514,8,4,0.0037311308366551055
182,0.3513447018736171,182,64,473,0.08652322497890114,149,0.00036278391213388685,8,4,0.004387148394716838
187,0.3686391302507009,169,64,475,0.12188101141343403,146,0.00024517419860694623,8,4,0.0002881649464879509
191,0.40025290169167926,191,64,328,0.09054457204982017,136,0.00031734975310621175,4,4,0.0050544823291470845
192,0.35652101278704595,187,68,456,0.0878734606587129,131,0.0002914532912928169,4,4,0.006516821720510559
