trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.reg_alpha,parameters.reg_lambda,parameters.min_child_samples
0,0.3419311770058864,COMPLETE,14,0.01785436060870726,0.8720536237417198,0.8146346649119967,0.0032735743714072487,0.7160849144555758,15
1,0.3419311770058864,COMPLETE,27,0.007982611757123358,0.8614622804552621,0.6063423389688911,1.5911147987600698,3.3994812107955625,29
2,0.34193117700588643,COMPLETE,8,0.0030509458916105213,0.7008853970727918,0.7844545901841157,0.02666020367873237,0.9776854331372623,65
3,0.3419311770058864,COMPLETE,7,0.003918994411735833,0.7234827275619211,0.75740785724554,0.39074137500162603,0.7918515779559374,56
4,0.34193117700588643,COMPLETE,19,0.002225770634981146,0.8183410106404391,0.6546087618788374,0.0016395975462927177,4.4448339535094625,97
5,0.34193117700588643,COMPLETE,25,0.004033144338361717,0.630695433816894,0.8510351378449301,0.02837635341868618,0.6622290670049675,55
6,0.3419311770058864,COMPLETE,4,0.016231191351940996,0.6847960801527393,0.8416489593130831,0.010689751565977946,1.6559149440361902,59
7,0.34193117700588643,COMPLETE,8,0.018647242703562956,0.8914838870924939,0.9695672016561586,0.8991909447343751,1.9809338952032913,93
8,0.3419311770058864,COMPLETE,6,0.003140601675761343,0.6140233233176831,0.7084763827073611,0.019188251048398993,0.9339401285535338,85
9,0.3419311770058864,COMPLETE,13,0.0038191305602090758,0.7916763983762117,0.6447852788360978,0.44470938617470757,0.5936365712667949,99
10,0.3419311770058864,COMPLETE,18,0.010166317003085372,0.9845592258747959,0.966003493489024,0.0011239043752531007,1.2502974532451985,11
11,0.3419311770058864,COMPLETE,30,0.008470589597735804,0.8749144657864892,0.6048440398795121,0.10920329342525148,3.1422570578252427,15
12,0.3419311770058864,COMPLETE,24,0.012069277933399744,0.9578054514185212,0.8685013124534056,0.0046488040280928304,2.3873608586922304,29
13,0.3419311770058864,COMPLETE,13,0.006368290480935789,0.8673852710079396,0.7277709798845159,1.859769626503809,3.9157418425058084,30
14,0.3419311770058864,COMPLETE,14,0.006546367916083888,0.9230248004832512,0.8101598732908504,0.11063479504966263,2.658915069073984,31
15,0.34193117700588643,COMPLETE,22,0.012412282376911611,0.8240677052844377,0.9066082979664373,0.004433711887088472,1.315307009833882,42
16,0.3419311770058864,COMPLETE,30,0.00850270437795167,0.7559608023845226,0.6501557290152649,0.08836541877863288,0.5040525634000519,21
