trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.reg_alpha,parameters.reg_lambda,parameters.min_child_samples
17,0.3419311770058864,COMPLETE,16,0.014879178281017166,0.8411484596540093,0.699929602664618,0.004989806112511909,3.185986559188151,45
18,0.3419311770058864,COMPLETE,27,0.005451281961346577,0.921771710569886,0.606626319016001,0.26544945315127133,1.813785382020627,40
19,0.3419311770058864,COMPLETE,20,0.01948965205836393,0.771222181980384,0.9127446807815301,0.060277553758118864,4.9789952191503914,21
20,0.3419311770058864,COMPLETE,10,0.008625521148689816,0.998479785802115,0.758762786970916,0.011369666174929138,1.2038999425032693,21
21,0.34193117700588643,COMPLETE,10,0.005367640929461436,0.7224621312657005,0.7547077314120845,1.9587587996247795,0.8389926225608864,71
22,0.3419311770058864,COMPLETE,16,0.004608853319256752,0.7354063815368557,0.7943414439504268,0.30395412745479206,0.7958801148232414,50
23,0.3419311770058864,COMPLETE,11,0.0023103233586983644,0.6828692348271879,0.6873106152314347,0.787875980464886,0.6882400536811271,70
24,0.3419311770058864,COMPLETE,21,0.003133672841981954,0.6522112055118034,0.8139633771379066,0.7684237639021767,1.0577126910932686,34
25,0.3419311770058864,COMPLETE,4,0.01314849880732552,0.7998610834363407,0.6744141408166886,0.36576303410597094,1.4815761714825029,79
26,0.3419311770058864,COMPLETE,7,0.007353839231358779,0.8506398337331939,0.7274074164297525,1.1457154655655872,0.5342041074342755,12
27,0.3419311770058864,COMPLETE,27,0.010363802377351367,0.9111810624806276,0.903651875589084,0.24761675463507155,0.7174822830545589,48
28,0.3419311770058864,COMPLETE,14,0.005188193963640885,0.7437639489780303,0.7439725683006275,0.0025789378262523407,2.1940050742240804,37
29,0.3419311770058864,COMPLETE,11,0.003704025117425905,0.697033521515377,0.7864715512588101,0.14399577239611766,0.9127585421639011,63
30,0.34193117700588643,COMPLETE,23,0.01063613909673423,0.9520740561469561,0.8799253935240596,0.04172542394775692,1.0563848997391045,24
31,0.3419311770058864,COMPLETE,4,0.015974546523498497,0.6727272583233742,0.8281632764149585,0.008376351407844738,1.6334916888250028,60
32,0.34193117700588643,COMPLETE,6,0.017317233413728195,0.7023478708968209,0.8409319123486052,0.002201411496177386,3.4333532406438754,58
33,0.3419311770058864,COMPLETE,8,0.002556229248541687,0.657527414321255,0.7716460034986384,0.012923358180908347,0.6123003989730044,54
34,0.3419311770058864,COMPLETE,5,0.015068484688834368,0.7076792422704609,0.8631131317648262,0.006452319882317261,0.7702261177959031,72
35,0.3419311770058864,COMPLETE,8,0.014167954077207258,0.6351374006774549,0.9280434459890148,0.023046666820161925,2.7166647089992932,66
36,0.3419311770058864,COMPLETE,17,0.017464857348486858,0.7999167064931895,0.6273838094268059,0.0025701768599033377,1.8776327797700183,81
37,0.3419311770058864,COMPLETE,9,0.004315425479122015,0.607822230659848,0.830570702501972,0.6052535328074246,4.095398834351704,52
38,0.3419311770058864,COMPLETE,6,0.0035159341670896807,0.7710277244183301,0.6651373827807509,0.0010760225926009061,1.4994816660367596,58
39,0.3419311770058864,COMPLETE,19,0.011300605875123944,0.8236286249018567,0.9995512262512625,1.212673090014408,1.0905569949853593,15
40,0.34193117700588643,COMPLETE,12,0.002658030487633175,0.8889090816538291,0.6331265259888247,0.5133423285189558,0.5869368122548195,25
41,0.3419311770058864,COMPLETE,6,0.002052066696419175,0.6155593376271232,0.7094615643566441,0.019007962359350903,0.9080517777304783,88
42,0.34193117700588643,COMPLETE,4,0.0031831825420085788,0.6266783351215991,0.8045174903435944,0.032897505986613035,0.9146177578831286,91
43,0.3419311770058864,COMPLETE,7,0.0028554663988358342,0.7263051668931693,0.7733792152392504,0.014928105811434207,0.6546182021353426,80
44,0.3419311770058864,COMPLETE,25,0.01995224766232157,0.6003848180073259,0.7327815154174238,0.007860710356207794,1.331391680787476,86
45,0.34193117700588643,COMPLETE,5,0.007454920485855044,0.6594028004866201,0.7184921992939305,0.0036312557827147865,0.7439498964110344,44
46,0.3419311770058864,COMPLETE,9,0.009365873547410525,0.8558221148034456,0.8567091246046123,0.0016209736152817858,1.1873934268905666,96
47,0.34193117700588643,COMPLETE,14,0.004194407618502754,0.6407296231106486,0.6882439291891654,0.16642947022446034,2.5554819983408725,15
48,0.3419311770058864,COMPLETE,28,0.0034171595417701803,0.7870068237965918,0.8838730855053303,0.07251947399883006,2.1299650445833347,100
49,0.34193117700588643,COMPLETE,7,0.0049176193012271125,0.7561004727467405,0.6004445865401059,0.04806844205664503,0.8387979637396523,66
50,0.3419311770058864,COMPLETE,5,0.013197088654534886,0.8737745312006131,0.6167096249250703,0.010170061568907427,1.6580230563953031,75
51,0.34193117700588643,COMPLETE,13,0.0038708133140127675,0.8368948089831187,0.646644937040782,1.3435976643254837,0.5715523113284003,95
52,0.3419311770058864,COMPLETE,16,0.00576393931852836,0.6829377434419215,0.6368696919445598,0.48378059273998014,0.6549746788094863,86
53,0.3419311770058864,COMPLETE,15,0.006987535217989221,0.9464758408875995,0.6162719666440126,0.02851154268576473,0.5124618318962386,90
54,0.3419311770058864,COMPLETE,10,0.002874341910920521,0.9058552607844856,0.6625745742941365,0.00519656757880191,0.626395904663564,39
55,0.3419311770058864,COMPLETE,13,0.0045797389560951265,0.8121121078971754,0.7499936756871635,0.18087832007212215,0.7061332797931412,99
56,0.34193117700588643,COMPLETE,18,0.017693198631758375,0.7653869278504264,0.6942856260477427,0.01800513927745618,0.9816914365390984,47
57,0.34193117700588643,COMPLETE,11,0.006025550508695329,0.7888386515947705,0.8129727312683394,1.592102331128989,0.8132219643524284,32
58,0.3419311770058864,COMPLETE,9,0.002408204791980774,0.7417611908749873,0.6741827217504608,0.11160763610524198,4.66311469447016,62
59,0.3419311770058864,COMPLETE,12,0.016064512843613238,0.7158720123767649,0.7855683099391695,0.849075736571255,0.5551906982031501,25
60,0.34193117700588643,COMPLETE,15,0.003216554641010081,0.8939278971004441,0.7660305077803864,0.001624361613476371,3.058164110751282,18
61,0.3419311770058864,COMPLETE,21,0.009413768316792265,0.9948551371592457,0.9443294422374937,0.0034299230249517218,1.2761260002145216,11
62,0.3419311770058864,COMPLETE,18,0.011643210254260964,0.9630945446902267,0.9661239147860811,0.0010642897086447572,0.9917481512322605,10
63,0.3419311770058864,COMPLETE,30,0.008118628411006528,0.9385924916662335,0.6464909238285225,0.41193579179945633,1.14080769246954,18
64,0.3419311770058864,COMPLETE,23,0.009242625062004245,0.9676915007581282,0.6164987945275789,0.006428826686128698,1.3651117885352364,19
65,0.34193117700588643,COMPLETE,27,0.00384337780884594,0.8393800602765474,0.795274856436372,0.21868461651073326,0.7586504700645172,76
66,0.3419311770058864,COMPLETE,20,0.012614970601394477,0.6866159781437816,0.8429013987856878,0.0021196987867271315,0.8764003252030397,14
67,0.3419311770058864,COMPLETE,4,0.01437734744159247,0.9840889631253434,0.8929831382570241,0.313523790216643,3.3396730203067775,55
68,0.3419311770058864,COMPLETE,25,0.006350964313457569,0.7544183613475202,0.7398383952962394,0.001324830901511829,3.732630794060942,29
69,0.3419311770058864,COMPLETE,8,0.018624680516124644,0.6700855803318664,0.7087699184238209,0.9834627230615502,0.6891993138193151,36
70,0.3419311770058864,COMPLETE,6,0.010226731486304798,0.8541305718771426,0.9960183041181842,0.003548580700843224,1.4294940075670814,27
71,0.3419311770058864,COMPLETE,29,0.007868639835498426,0.8648781010227092,0.6066250380194605,0.08743259726193016,3.8792557662084666,22
72,0.3419311770058864,COMPLETE,29,0.0067560457071588476,0.9256311273754477,0.625818070372721,0.12135364413476062,2.6605936992019865,51
73,0.3419311770058864,COMPLETE,28,0.008311489993682027,0.8802609856630108,0.8201944001543535,0.6948389851380377,2.9854173388700933,84
74,0.3419311770058864,COMPLETE,26,0.00876068382781315,0.8271990245547745,0.7989003557324631,0.04209818989482532,1.7388611704121837,14
75,0.3419311770058864,COMPLETE,30,0.01600464729865359,0.9031274685270385,0.7622960550061165,0.5847665231741489,4.211437013308,17
76,0.3419311770058864,COMPLETE,5,0.00767372559370686,0.801599038903028,0.638225516869531,0.054256992140202014,1.986316964806783,12
77,0.3419311770058864,COMPLETE,15,0.0034917950571900125,0.6942278611928948,0.6559041640953677,0.013966223456912369,2.3889736594286153,23
78,0.3419311770058864,COMPLETE,7,0.010997772416521287,0.7830324767651773,0.6251003770091151,0.022626339743118336,0.7899195675667129,93
79,0.3419311770058864,COMPLETE,10,0.005001784243738419,0.8122501411783569,0.600628156536082,0.010296631900829026,1.092780343271079,57
80,0.3419311770058864,COMPLETE,12,0.013290771388157714,0.6462795838857115,0.6793886695372667,0.03538269622621863,2.8752338614590474,43
81,0.3419311770058864,COMPLETE,24,0.009966315474066352,0.9328371582865357,0.9194893464581382,0.007951189249754622,2.240454413214558,68
82,0.34193117700588643,COMPLETE,26,0.011492351679422922,0.9739643153724963,0.8580607162717465,0.005370472215670093,3.598568696682922,40
83,0.34193117700588643,COMPLETE,17,0.012001850725542279,0.6244541005533782,0.8746462112333117,0.0044076956563115915,3.2858421839475493,21
84,0.3419311770058864,COMPLETE,22,0.00892207493853022,0.7282449696566804,0.835651131144958,0.37068891583089003,2.453981345924716,33
85,0.3419311770058864,COMPLETE,26,0.002957739948505651,0.9209298000183022,0.7788021235233477,0.0026022464443954244,2.837347563510321,30
86,0.3419311770058864,COMPLETE,14,0.010002779317448167,0.9546448797366942,0.8075940646653185,1.7773665310165987,1.229861254823365,27
87,0.34193117700588643,COMPLETE,28,0.015251339553044717,0.7123432515488511,0.8693844704337749,0.0020822103661240167,0.6332045959800052,63
88,0.34193117700588643,COMPLETE,29,0.016906590904246198,0.8693384714009074,0.8243801303210927,0.01734115140396996,0.5977632121369565,16
89,0.34193117700588643,COMPLETE,5,0.002690984095007709,0.999415772369686,0.8478798093323945,0.0698412843829107,0.8641916938220285,10
90,0.3419311770058864,COMPLETE,24,0.007154213115645425,0.8900557233122088,0.9496814574741138,0.011609999456587585,0.7311868121031696,48
91,0.34193117700588643,COMPLETE,13,0.005809289328737465,0.8433699860040055,0.7276670414714425,0.9519747603820924,4.3678990691325925,27
92,0.34193117700588643,COMPLETE,17,0.004444966183129006,0.8600350986764164,0.709962893963289,1.3582960769021504,3.5541252173454825,13
93,0.34193117700588643,COMPLETE,19,0.0033010336728266604,0.9142516601532643,0.7488437023196742,1.5127339870636762,4.827662190194415,54
94,0.34193117700588643,COMPLETE,4,0.013748529435709433,0.8280991979759785,0.7381508607718714,1.9133140647698352,3.9370551861864196,19
95,0.3419311770058864,COMPLETE,16,0.0036720932900567997,0.8829355565971956,0.6102198879358572,1.0661825252196275,1.5459121030728642,46
96,0.3419311770058864,COMPLETE,13,0.01927454113354271,0.876340695544812,0.8944450894904555,0.002940000230087226,3.156653492576391,36
97,0.34193117700588643,COMPLETE,15,0.005423655601832211,0.8968515818865551,0.6967449792298731,0.2293998253806838,1.0081147245958089,20
98,0.34193117700588643,COMPLETE,11,0.010810911752356892,0.8478246281100053,0.7564274841401964,0.0065678123655840154,0.9317316378706149,73
99,0.3419311770058864,COMPLETE,12,0.006686465007656229,0.669790149777816,0.7687628846755511,0.7666567800425832,2.040885281568478,61
100,0.34193117700588643,COMPLETE,27,0.004114872833761174,0.7625367905865997,0.7185067642356656,0.004104639603731259,1.78327436860928,38
101,0.3419311770058864,COMPLETE,6,0.006218305289003169,0.9384856823442979,0.7791864868335243,0.1793155270524569,2.343669202775099,30
102,0.3419311770058864,COMPLETE,10,0.008021560523449529,0.9100407323380839,0.8405747635965671,0.2786765421593239,2.6039653436773773,24
103,0.3419311770058864,COMPLETE,14,0.007440938997085878,0.985275941029674,0.7904780387479009,0.11568104522048972,1.8858954815471785,98
104,0.3419311770058864,COMPLETE,7,0.006634679243860619,0.9526984881084324,0.8221478173328889,0.0013067594100466384,0.5512143300351416,34
105,0.3419311770058864,COMPLETE,9,0.008566307509735345,0.8644393119343842,0.8107140116970029,0.14601527688021465,2.741333152622783,82
106,0.34193117700588643,COMPLETE,14,0.018393102436552556,0.9641555717250089,0.6121019603252552,0.008963038602412965,3.4126767552139694,41
107,0.3419311770058864,COMPLETE,18,0.009066074267375412,0.7413848636984199,0.8014865953017959,0.4549285385294238,0.6782464241892883,32
108,0.3419311770058864,COMPLETE,21,0.004734886306068485,0.9836498508579046,0.9839311099674889,0.09109412445935178,0.5021378414127272,57
109,0.3419311770058864,COMPLETE,13,0.00973701810780428,0.661836212663529,0.6412226142320673,0.02606462779536154,3.004499366491003,16
110,0.3419311770058864,COMPLETE,16,0.00723798224729364,0.9252657715650571,0.6312829297611035,1.1942891384236674,3.247848150818851,49
111,0.34193117700588643,COMPLETE,30,0.008470883471053101,0.7763826776935827,0.6607250007742497,0.08988213196405508,0.5346812296068243,12
112,0.3419311770058864,COMPLETE,29,0.012647526482571713,0.7497694353915632,0.6505359577281656,0.2018465124141784,0.5931934630078192,26
113,0.3419311770058864,COMPLETE,28,0.007761296044479182,0.726243296058595,0.6707053660844794,0.056877204684625204,1.4146017266496673,22
114,0.34193117700588643,COMPLETE,8,0.005795577130029553,0.7335985439329571,0.6055119439672494,0.1444741978619504,3.7995630096573576,28
115,0.3419311770058864,COMPLETE,30,0.006406844599211877,0.617262403090127,0.6194650945712603,0.03548516021639633,0.5276008635781796,77
116,0.3419311770058864,COMPLETE,15,0.009519028351760219,0.7943948457294631,0.6842690182286084,0.012161972640601235,0.8047980067105078,14
117,0.3419311770058864,COMPLETE,4,0.00219633150475663,0.805009754441517,0.7019651330919147,0.07825070735163506,0.6514514410887051,31
118,0.3419311770058864,COMPLETE,6,0.016712136600172307,0.7145774306556608,0.8309316511892688,0.6101111187766344,4.135876539211578,94
119,0.3419311770058864,COMPLETE,24,0.005243471118111337,0.8320934945952768,0.7265467718786693,0.09976100910316507,0.5691344442592602,17
120,0.3419311770058864,COMPLETE,29,0.0069181041370019345,0.8169359029188393,0.8546160726520018,0.0059676758190434255,3.104013920712624,24
121,0.3419311770058864,COMPLETE,16,0.01539388831959083,0.8586620111649579,0.7183421188519867,0.0048323163819543585,3.566259316739078,45
122,0.3419311770058864,COMPLETE,11,0.01755439027877137,0.849939927007986,0.6916372760197267,0.0018756666686621324,2.9604862647888486,91
123,0.3419311770058864,COMPLETE,12,0.014360571130351257,0.6990310702823398,0.6692690286311863,0.0029598006369335804,0.7424837032962553,36
124,0.34193117700588643,COMPLETE,14,0.010394651372567834,0.8858558048829214,0.7035640284904014,0.007392032125306054,2.509354328382405,52
125,0.3419311770058864,COMPLETE,19,0.0030718306586628246,0.9001434281146259,0.6234335444942031,0.06573245649584697,2.7831772770406817,34
126,0.3419311770058864,COMPLETE,23,0.01486856297190685,0.8386759573247291,0.9370197752873857,0.003828499665360761,2.2737499740696197,59
127,0.34193117700588643,COMPLETE,15,0.011821369993772372,0.8795425564900626,0.8157634249339197,0.13145059535064654,1.6486605057776307,69
128,0.34193117700588643,COMPLETE,16,0.0039094791931383824,0.7760382551059366,0.6829278229198682,0.015289887247226996,3.2248306706828265,10
129,0.3419311770058864,COMPLETE,28,0.016681598001047803,0.6912309040951881,0.7362407251738962,0.05028242678329909,0.7143247594907103,20
130,0.3419311770058864,COMPLETE,25,0.013522376140510554,0.973645659731864,0.744400727994396,0.009921448495451332,0.8452755677883306,22
131,0.34193117700588643,COMPLETE,26,0.004283759763186178,0.8714472645182029,0.6056051654631279,0.29529825699934925,2.111736026419298,43
132,0.3419311770058864,COMPLETE,27,0.006050222621433666,0.9381686785888084,0.6144783180233846,0.34180776205331265,1.7622402904742784,29
133,0.3419311770058864,COMPLETE,30,0.0054312867655206985,0.7641398582150719,0.6318895678233457,0.021755085372207873,1.5753293437496727,39
134,0.3419311770058864,COMPLETE,20,0.002745326655906965,0.6010272373988805,0.620642837710414,0.001328989333667806,4.000019276280741,37
135,0.3419311770058864,COMPLETE,17,0.003642928363238483,0.9106114535706883,0.6006373584996151,0.24715192391830051,1.8562660414812115,53
136,0.3419311770058864,COMPLETE,22,0.002456341515737557,0.8921377153446567,0.6446291804151087,1.666064719977829,1.4903906252204713,26
137,0.3419311770058864,COMPLETE,27,0.008158498171128679,0.9510805277835984,0.962887981315954,0.10587735315945428,3.688327422123512,88
138,0.3419311770058864,COMPLETE,13,0.0033572357924450047,0.9160423255378405,0.7220343635007617,0.3999354746582281,0.9241430986295008,34
139,0.3419311770058864,COMPLETE,29,0.018175378313362984,0.8648671226417791,0.9091686706315806,0.16587796488365786,3.455130616516418,15
140,0.3419311770058864,COMPLETE,5,0.007635351463900101,0.6403918860215926,0.7859709230179652,1.3749726184586353,0.7770326716215017,18
141,0.3419311770058863,COMPLETE,15,0.01978439996817336,0.7504521112141714,0.8866445595379726,0.059510051308167534,0.6329508665653295,31
142,0.3419311770058864,COMPLETE,14,0.011136934726707058,0.7479836482534261,0.8889828107999656,0.0712375641325418,0.6733016437411589,31
143,0.34193117700588643,COMPLETE,15,0.00887931622244606,0.7868833047652242,0.8647673168207154,0.04674192418182864,0.5815579164882216,33
144,0.3419311770058864,COMPLETE,16,0.019560098274828096,0.736025565764841,0.9240561070236547,0.5000279655932723,0.6165295444631702,41
145,0.3419311770058864,COMPLETE,12,0.01924208445093707,0.7689612611708453,0.8516600267453063,0.003115971469332834,1.1744310042391766,29
146,0.34193117700588643,COMPLETE,18,0.016805937337731367,0.9906081828111006,0.8700189992100178,0.08108419033330416,0.6567207354270538,25
147,0.3419311770058864,COMPLETE,13,0.01577752974555694,0.7544113729732661,0.8814428490370888,0.002385295346376284,4.47758856608611,64
148,0.3419311770058864,COMPLETE,25,0.004789083672694378,0.8514744261880113,0.6102839878280971,0.005089355030651197,2.877144704133559,13
149,0.3419311770058864,COMPLETE,14,0.01806834921189626,0.6797081985469825,0.7094855820470102,1.964678288904108,1.6728722760742893,50
150,0.3419311770058864,COMPLETE,15,0.00731350981756358,0.7052271498354312,0.8350557529687836,0.030303915382054392,1.04410023185552,28
151,0.3419311770058864,COMPLETE,17,0.019645663450278343,0.7559673798902072,0.9041374705259615,0.0057790703522464055,4.935242298307942,23
152,0.3419311770058864,COMPLETE,19,0.019119192949709696,0.7214681994951013,0.9118111913459277,0.037177195511943734,4.607173287650621,19
153,0.3419311770058864,COMPLETE,20,0.017273461021695705,0.9314649603741889,0.8931637978284271,0.05510866046035078,1.2904600212796422,35
154,0.34193117700588643,COMPLETE,6,0.005613212234142426,0.7781314290609493,0.9807573952959453,0.06382045416201639,0.6216383717182877,32
155,0.34193117700588643,COMPLETE,21,0.01243663035886121,0.7602762177791031,0.756926125639832,0.06269594166228945,0.7024849918632088,16
156,0.3419311770058864,COMPLETE,23,0.01867967311092359,0.7420583488647191,0.859907611397607,0.042939347475531776,2.643109926342876,56
157,0.3419311770058864,COMPLETE,17,0.016382054466582703,0.7954267507963467,0.6369876117232838,0.12493023803962001,0.5506604828950755,21
158,0.3419311770058863,COMPLETE,18,0.006576985312253281,0.9662105859406177,0.6003086199166141,0.10198242110241497,3.3214409581150894,97
159,0.3419311770058864,COMPLETE,4,0.006500604315691987,0.9617179262173654,0.6071719456499519,0.09960774600392358,3.405599334273682,100
160,0.3419311770058864,COMPLETE,18,0.006699266250624854,0.9765399906906626,0.6176775746507359,0.007167838087736995,3.3127574251329897,100
161,0.34193117700588643,COMPLETE,7,0.006088165940398618,0.8700453643243236,0.654143393476076,0.09229906233727503,3.188904233602326,97
162,0.3419311770058864,COMPLETE,14,0.01776899950505136,0.9593845624321866,0.6008166033082813,0.08040852703215268,3.0419994475833234,94
163,0.3419311770058864,COMPLETE,18,0.006979139789182715,0.8774724441522791,0.8450263718894279,0.001000567775065559,3.530057508119,12
164,0.34193117700588643,COMPLETE,19,0.01985852243300524,0.9434104917330113,0.9383001778271052,0.2014206346126566,4.272254169740354,27
165,0.3419311770058864,COMPLETE,16,0.009271121068986773,0.9696417918653494,0.628412656518706,0.5851507424676676,3.7604198326417606,86
166,0.3419311770058864,COMPLETE,30,0.008544737338333493,0.8079136544556321,0.6144845916715308,0.1542981889733857,3.078833123026621,31
167,0.3419311770058864,COMPLETE,26,0.007901257214394415,0.6527831941718133,0.9574371359902984,0.12059653715190691,1.9374530178426244,79
168,0.34193117700588643,COMPLETE,28,0.006367613065738746,0.7710784839297444,0.676533284697058,0.8191234956678213,0.518823498238909,98
169,0.3419311770058864,COMPLETE,15,0.010031401623217832,0.8579204039405409,0.6056583911689724,0.10915707842669463,2.4634879276883144,96
170,0.3419311770058864,COMPLETE,20,0.005886652750370906,0.9827314867167546,0.6958307064207474,0.05754009475842182,0.7571213545865154,60
171,0.3419311770058864,COMPLETE,8,0.00840857303910156,0.991215355333131,0.8776118141765676,0.011156072529039414,1.2508594557522015,18
172,0.3419311770058864,COMPLETE,13,0.00879951897642897,0.977742219231313,0.7656809629540353,0.019747415695110068,1.413390669561585,14
173,0.3419311770058864,COMPLETE,9,0.0074617355061900896,0.9980614067005666,0.7302997862286464,0.008149108375993525,1.0988405945183424,23
174,0.3419311770058864,COMPLETE,11,0.007034490659823269,0.949175394299618,0.7968516394506712,0.025562792752388826,1.5224007484797686,29
175,0.34193117700588643,COMPLETE,8,0.014900103947612172,0.9038146119218056,0.7749287675856961,0.0043358800891147116,2.9009028757512074,25
176,0.3419311770058864,COMPLETE,29,0.0031438332375699537,0.8225263263297212,0.7170205014214097,0.016363463138962617,0.8169882780093268,11
177,0.3419311770058864,COMPLETE,5,0.010623232188791758,0.8871769637424368,0.7498265943878507,0.0128093937897344,0.9576031719180617,92
178,0.3419311770058864,COMPLETE,10,0.0040869302623851,0.8438555767578805,0.8067090541435883,0.44206116253563094,0.8832573497539665,47
179,0.3419311770058864,COMPLETE,16,0.00515563422421143,0.9656319466419052,0.82932788497077,0.0785767152006196,3.961601777814865,21
180,0.3419311770058864,COMPLETE,14,0.0044637069628412325,0.9917221248184117,0.7404529473324886,0.009658251485625841,1.3391001101242304,16
181,0.3419311770058864,COMPLETE,16,0.004972575036640977,0.7374986014941587,0.8135755658216417,0.30813834605825835,0.7390371768524269,49
182,0.34193117700588643,COMPLETE,15,0.003892693756417495,0.7488721476843949,0.7828475721950376,0.36071372905318727,0.8333997335331775,30
183,0.3419311770058864,COMPLETE,17,0.004563659931734379,0.7481052234752779,0.6091988811898921,0.2720325733966696,0.6405912717333113,54
184,0.34193117700588643,COMPLETE,13,0.01868030451999085,0.7329503430790083,0.8208993263927981,0.2370263107674687,0.7791965829326354,38
185,0.3419311770058864,COMPLETE,18,0.005488134542187306,0.7620890211304058,0.7926192002159067,1.5099099222384205,0.7037559448569906,46
186,0.3419311770058864,COMPLETE,14,0.0036307213952465546,0.9197757676460094,0.765686768248812,1.09107653406065,2.7669133438370364,44
187,0.3419311770058864,COMPLETE,17,0.008100626257010465,0.857362050863854,0.6006327924545691,0.0017801352716084202,1.7211900016319543,89
188,0.3419311770058864,COMPLETE,6,0.009719467213188199,0.7189674869466092,0.8060881937411929,0.1854454318813693,2.1226761149491833,51
189,0.3419311770058864,COMPLETE,7,0.017258103885113205,0.7287096953360943,0.6626412861583757,0.34496519922325913,3.325469480396323,27
190,0.3419311770058864,COMPLETE,15,0.0028986215644053407,0.7810479696436351,0.7578314303862532,0.14222337832196344,0.6017607886136019,41
191,0.3419311770058864,COMPLETE,10,0.002551369926617566,0.710982136847506,0.692419524627023,0.9538132445920551,0.6816741113066307,66
192,0.34193117700588643,COMPLETE,11,0.01998234308280508,0.6786533788310116,0.7015166181838615,0.5402477755924139,0.6622158632483117,69
193,0.3419311770058864,COMPLETE,12,0.0042182556497691315,0.6287707575322259,0.706365051805162,0.6539199072862645,1.5947994983177516,75
194,0.3419311770058864,COMPLETE,27,0.0021774606689436973,0.8706228854015454,0.6856246949661129,0.3938050323284613,0.7229740087645252,82
195,0.34193117700588643,COMPLETE,12,0.0020899761732750743,0.7437510755473822,0.6225953695760539,0.0739880959927819,1.1818099821467394,58
196,0.3419311770058864,COMPLETE,9,0.00911000872653553,0.7688653595751592,0.6137407874358473,0.00372391003973276,1.0136224716072755,20
197,0.3419311770058864,COMPLETE,13,0.003486981221744,0.6148271280849668,0.7161280456563297,1.7039445512768283,0.7894021350213625,72
198,0.3419311770058864,COMPLETE,14,0.015964753292730508,0.7556164799315068,0.6991085699995244,0.7103335590454001,2.3296992805639256,52
199,0.3419311770058864,COMPLETE,24,0.007742504919313714,0.6671134958601701,0.9176618403122526,0.006311512458863771,1.8464703310759214,33
