trial_number,value,batch_size,dropout,history_length,learning_rate,num_layers,units,weight_decay
0,0.4827745951845974,137.1002974944696,0.4242496915740617,83.76075273210611,0.00031267108215403286,5.5197195024459225,272.73668152910335,0.00046323681484846535
1,0.5162938682708198,94.02940204415958,0.4427831039454779,73.10684893413026,0.0006233730040224712,6.755236700067287,323.96724317697056,0.0012056776149057722
2,0.358670772906549,199.50803081557393,0.45902652094038904,140.87230093937336,0.000960314469461873,2.166349981494947,362.4385334339405,0.0010348384850089635
3,0.336290580212713,128.55456209872762,0.4009190029901748,141.36845383699864,0.0005567867454917931,3.1043419711580817,284.0521919262746,0.00013232550322886505
4,0.5123327404796006,250.83227690469673,0.44068833618756226,114.48281385094451,0.0014554564451084793,3.951783523355413,113.02664228168913,0.0005323292158501523
5,1.4356715461629594,139.46495994843997,0.4585592831796703,95.12792902261212,0.00033010565645304435,8.368357607938446,164.54667050694508,0.004527555852310185
6,0.5308232969688085,123.88021354522724,0.39045278707539743,149.9651738574733,0.0006340125278017454,4.566906227233052,177.84080199713222,0.001381605908787682
7,1.4296331012320376,172.13774414739092,0.41463417979203576,147.0407883735408,0.0004929089702131765,8.549372703575242,137.54472684177782,0.0013836853974675417
8,1.4326601332533144,217.9508058433434,0.20755024180966566,130.41957977578335,0.0005988698359484257,5.472476880663252,341.4805475366221,0.007896647253382353
9,0.4358698566427488,235.53733363462771,0.3828746604790251,100.40945606995301,0.0007286759351510781,3.5487411651062164,203.91315106600754,0.000529549187048364
10,0.3483447079708476,88.00544337383928,0.3037767992020613,120.66725864781941,0.00020292745426844777,2.250845224589029,262.53521243092086,0.00010620122161525609
11,0.3627433290203174,66.17280161107634,0.3101669817864324,121.95029839516731,0.0002051330255016374,2.5309992160691532,259.94729920222306,0.00012579991592923063
12,0.34178386498800295,98.15662223003858,0.31240306315728766,131.5356726875872,0.0018737106219298603,2.0834333156329463,280.30733708866217,0.00010075066869371251
13,0.36827726378858444,105.42007470715221,0.33275080150659875,159.2371877543206,0.0019525188056811573,3.262428877655723,294.9388349309783,0.0002350326382636882
14,0.578985969512584,173.64360810649063,0.2759173425080262,136.57117357141476,0.0011916942528094883,6.848648525776902,234.19482711005475,0.00021884622943869748
15,0.4597691858332314,65.58269708530392,0.22871145436430546,129.90646523775925,0.00043497437314573157,4.586305689368141,80.28793023673188,0.00021786717470177958
16,1.4394595142253144,119.87200209526722,0.49347701362803775,107.61491848365559,0.0008807490711458724,9.876747281627722,312.33062762361874,0.00010100208164196613
