trial_number,value,bagging_temperature,depth,l2_leaf_reg,learning_rate,max_epochs,random_strength,subsample
0,0.35697198646248207,0.0508843298966772,11,1.1292658261865378,0.0020109449036775427,300,0.6560900904620964,0.9919247169186988
1,0.3581191832246955,0.14700170103855673,11,3.008455163959995,0.0025860570598199933,300,0.44413147262049324,0.8979551807159493
2,0.32222948397963685,0.3119006023799005,4,1.093295551206298,0.0028444290618952713,300,0.3954254375317053,0.9820123098753515
3,0.3332471267235006,0.4014989910561523,7,8.10572354094233,0.0025383861909251083,300,0.14107707182756388,0.7097666025293954
4,0.34558804838895835,0.6075720477330796,7,2.3322789233420393,0.004907922509457628,300,0.1930273035620576,0.6117325782505956
5,0.36680597218327,0.6192333555354093,10,2.104479966448474,0.009120421296591854,300,0.6181762094773002,0.9510178123597081
6,0.3509326136946273,0.6961468613256313,10,2.575596576001711,0.016675221398911356,300,0.6657148884302292,0.6426190708276897
7,0.3309558599004951,0.10878974938507946,7,9.741854441225168,0.004669426707923166,300,0.6275317321248064,0.6138022543129812
8,0.3592198420876535,0.055540400276418565,11,1.1324404242789385,0.023925698028129296,300,0.503545230095898,0.8312142892379276
9,0.32222994169548086,0.007610219642487434,4,2.7150370453374717,0.026075713657878596,300,0.6743741644687403,0.7013932836305989
10,0.3123956299037814,0.0017181439552457782,4,5.2078739665678855,0.004734919049458074,300,0.2879312094593051,0.8184937870715578
11,0.3299238469767389,0.0015324534984645349,4,5.528405570157706,0.004316066232716032,300,0.3052719100071367,0.8240569312623586
12,0.31151771630366293,0.012675376676065424,5,4.956493255367426,0.00838572187872534,300,0.29981925271923865,0.8846528200834622
13,0.32051454676084784,0.009045279719286545,5,5.032744584137008,0.008460630213437759,300,0.24548986583577292,0.8575430065750149
14,0.31445383958556455,0.0010838184329513513,6,4.654137358132003,0.011100993344921001,300,0.1010865255966466,0.765067764106655
15,0.35293927149055565,0.004357995925389705,5,3.8806120190969935,0.006102374968702708,300,0.9682398344716905,0.7725001452205584
16,0.34831016434248024,0.019914292161931735,8,6.800466159254223,0.0132694106223775,300,0.22777386801343297,0.895255670990913
17,0.312835012979842,0.0036521229072232994,5,3.8042700531666522,0.006335902546834586,300,0.32188740990654857,0.7281421953731206
18,0.3308184391463919,0.018721566407891382,6,6.6780269065885145,0.006777607644891568,300,0.16237021499931814,0.800831226556681
19,0.34758450903991783,0.002493257212673381,9,1.7253528093564325,0.0035949559911815764,300,0.3202316082928292,0.9113902989075323
20,0.3702173639505368,0.009174263360615881,6,3.368617803999138,0.017130739756746328,300,0.27128068237315756,0.8613706227800142
21,0.32610937693468084,0.003708577003267288,5,4.228489011789815,0.005946796046170718,300,0.3668512991633273,0.7272674220044013
22,0.3151267735461501,0.0023235637960109597,5,6.01483093057457,0.007759027161760449,300,0.33044104515134576,0.742405839347894
23,0.3020318242689853,0.005112643236708679,4,3.7159170688751346,0.0036344968805990746,300,0.20321362980274316,0.6813652618718034
24,0.30851158670183804,0.01664521486440741,4,3.316567298869271,0.003482376335573699,300,0.18685419162317582,0.6411076363980941
25,0.3154516837513481,0.01840973981962378,4,1.7680097921376257,0.003567977249290938,300,0.19308703019438386,0.6824072623468411
26,0.3207967131130157,0.0315226851585251,6,3.301193928455094,0.003566454979781307,300,0.12821789672071707,0.6617894625551769
27,0.32632420995846334,0.006353285431237642,4,4.3451359664114495,0.0020710782061703604,300,0.1960604270027807,0.6417959655282702
28,0.3562832799985294,0.012150041142746334,8,3.595776326169092,0.010133175108853238,300,0.15959013370019776,0.6688302252026264
29,0.40603042235151987,0.032357048930304416,12,2.0358901331949437,0.002941257392857986,300,0.11453827815231064,0.6361775637425987
30,0.32777423070248785,0.06439087794288592,5,1.386612831359296,0.0038612671095732964,300,0.22298652540097194,0.6829684465361786
31,0.3179214664786742,0.0019942083331638623,4,5.0791375826363545,0.005360118615688693,300,0.2660284010202816,0.8008657472903732
32,0.3051230500374887,0.005777109019683545,4,2.8396494952476363,0.003040645170081394,300,0.17105133149832774,0.869619547019985
33,0.3138178743229037,0.0055700985884608025,5,2.8976557635339413,0.0020711716297074083,300,0.16599433941774003,0.9333676576137703
34,0.3578288775214746,0.01233844123572213,4,3.2063246711728572,0.0029282252304146674,300,0.20971582452230206,0.9890714816232635
35,0.32295355466079423,0.028211311790254778,6,2.4982241986807416,0.002376800119043381,300,0.13877215372612875,0.600305677615596
36,0.3284675890161782,0.01419708834649477,4,4.031710143491233,0.0029832399177051167,300,0.17356376426449419,0.8668925755193148
37,0.30909840694198004,0.004499385815233841,5,3.0203121008512297,0.002444833190351283,300,0.4200966753674105,0.9582527842049929
