trial_number,value,state,parameters.history_length,parameters.num_layers,parameters.units,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
0,0.3809907807167186,COMPLETE,100,4,298,0.26208630215377515,168,0.0002864339657822303,0.00013066739238053285
1,0.3809907807167186,COMPLETE,148,3,291,0.10336843570697404,377,0.001359792484318226,0.00026587543983272726
2,0.3809907807167186,COMPLETE,81,1,161,0.23269604681949624,239,0.0003910741732549046,0.0016738085788752138
3,0.3809907807167186,COMPLETE,77,2,181,0.20834315611529478,329,0.0003167406311823747,0.0010677482709481358
4,0.3809907807167186,COMPLETE,121,1,259,0.13158041368516615,144,0.0017779335814037862,0.00853618986286683
5,0.3809907807167186,COMPLETE,142,2,95,0.30078651475264556,241,0.0002648916268019866,0.0009780337016659412
6,0.3809907807167186,COMPLETE,67,4,147,0.29045790726652737,208,0.000662365977614476,0.0012399967836846098
7,0.3809907807167186,COMPLETE,81,4,312,0.45360891279216237,357,0.0007923735580813167,0.0069782812651260325
8,0.3809907807167186,COMPLETE,72,1,78,0.1688092120423238,227,0.0003735760514214134,0.004544383960336014
9,0.3809907807167186,COMPLETE,98,2,238,0.12545899554294088,334,0.0002374546285067177,0.009413993046829943
10,0.3809907807167186,COMPLETE,113,3,375,0.44837664634842117,131,0.0005001189812980793,0.00010722312838040235
11,0.3809907807167186,COMPLETE,157,3,301,0.10256580517421476,286,0.001256902823130098,0.0001301397360657581
12,0.3809907807167186,COMPLETE,136,4,357,0.3206687180749135,179,0.00095494434347689,0.00027209976155848575
13,0.3809907807167186,COMPLETE,99,3,295,0.18372248822004708,382,0.001566296737002324,0.0002846282635669909
14,0.3809907807167186,COMPLETE,159,4,334,0.257577217919312,287,0.0010635660276295932,0.00030287539859849907
15,0.3809907807167186,COMPLETE,128,3,263,0.36712496624610796,178,0.0005261228039335526,0.0005286741166545425
16,0.3809907807167186,COMPLETE,98,4,209,0.1287808736457566,279,0.00020162102536002064,0.00018015596595059326
17,0.3809907807167186,COMPLETE,144,3,276,0.16247590477303,182,0.0012743946236752595,0.0005983206987374906
18,0.3809907807167186,COMPLETE,108,4,333,0.1035210440010946,316,0.0007255141528082508,0.0001635280109508478
19,0.3809907807167186,COMPLETE,89,3,221,0.3750111317699529,266,0.001991598087660158,0.00044660663318794386
20,0.3809907807167186,COMPLETE,119,4,384,0.20951968599813908,377,0.00048155997700130744,0.000197526820528539
21,0.3809907807167186,COMPLETE,87,1,140,0.24369698244973065,207,0.000354344837763424,0.002417853052102726
22,0.3809907807167186,COMPLETE,106,2,174,0.2487801356464835,154,0.00041758837953587337,0.0021633628606049036
23,0.3809907807167186,COMPLETE,88,2,129,0.1916469164243092,240,0.0002923245529049387,0.002017057673332463
24,0.3809907807167186,COMPLETE,81,1,185,0.14919514747283838,208,0.00022100125852066627,0.0004160035578799865
25,0.3809907807167186,COMPLETE,64,3,244,0.23658965515124677,306,0.000592630468593001,0.0033770586827607386
26,0.3809907807167186,COMPLETE,93,2,283,0.271808701705067,161,0.00038890250667777834,0.0006830907735497466
27,0.3809907807167186,COMPLETE,151,1,326,0.33899744111311486,221,0.0002869929132218234,0.001379986551269897
28,0.3809907807167186,COMPLETE,129,3,214,0.20962254405224662,253,0.0008776020296896317,0.0001099373087680161
29,0.3809907807167186,COMPLETE,79,2,167,0.18839612036814568,342,0.00033589125009347696,0.0008361419971766109
30,0.3809907807167186,COMPLETE,72,4,117,0.21783292992634246,306,0.00043473662166902715,0.0015915803943138997
31,0.3809907807167186,COMPLETE,75,1,194,0.274457368315443,351,0.0003164939738006437,0.0008241653000947872
32,0.3809907807167186,COMPLETE,107,2,248,0.12266559809129154,363,0.00029262624100156136,0.001184212449164789
33,0.3809907807167186,COMPLETE,123,1,163,0.14642117335364796,329,0.00024643981131607746,0.00022647910751813117
34,0.3809907807167186,COMPLETE,69,2,192,0.30101081896865095,369,0.0006024416810778305,0.0003822654004461951
35,0.3809907807167186,COMPLETE,78,1,153,0.1136040927942418,191,0.00026697924711350016,0.00404103023207709
36,0.3809907807167186,COMPLETE,92,2,104,0.14499431826260803,324,0.0004486273909911726,0.0009205993460515822
37,0.3809907807167186,COMPLETE,84,3,72,0.1665188898534893,350,0.00037490951484004254,0.00013923239249207775
38,0.3809907807167186,COMPLETE,96,2,262,0.2227520847093268,130,0.0005445751262878727,0.0028633065984043716
39,0.3809907807167186,COMPLETE,114,4,356,0.4912789926055174,233,0.0007410676322571651,0.006994379538319026
40,0.3809907807167186,COMPLETE,146,1,233,0.2978970011512551,261,0.0014509002791330532,0.0016750084904010565
41,0.3809907807167186,COMPLETE,137,1,306,0.11380337601792123,142,0.0019507480887394828,0.0052638201109843396
42,0.3809907807167186,COMPLETE,101,1,264,0.10086097752839936,156,0.0016599618304959426,0.0062809138006692045
43,0.3809907807167186,COMPLETE,137,1,288,0.13253003316459674,144,0.0011264444025080632,0.0011219248769313048
44,0.3809907807167186,COMPLETE,127,2,304,0.11112712854447264,174,0.0017691411450346784,0.0003448927082959153
45,0.3809907807167186,COMPLETE,152,3,316,0.19638798685248815,200,0.0013953107165875066,0.0002594372836984771
46,0.3809907807167186,COMPLETE,120,1,203,0.27470511763390887,294,0.000320745055684123,0.008455892276653101
47,0.3809907807167186,COMPLETE,103,3,351,0.39400256568764197,167,0.00023823716616203045,0.00013396547525280748
48,0.3809907807167186,COMPLETE,114,4,274,0.17864427287927367,275,0.0011287828403235827,0.00010137537825952201
49,0.3809907807167186,COMPLETE,132,2,257,0.23803878362327283,252,0.00020983433826287298,0.00048299397007082925
50,0.3809907807167186,COMPLETE,83,4,237,0.3303601264106754,146,0.00026152353943765714,0.00020419959154564663
51,0.3809907807167186,COMPLETE,140,2,105,0.3123018351002771,241,0.00027619419476203143,0.0006601066213400216
52,0.3809907807167186,COMPLETE,151,2,97,0.34976277268605177,222,0.000225711437433023,0.00015625794493429897
53,0.3809907807167186,COMPLETE,146,3,85,0.262713057144373,188,0.0003448739146931159,0.0010368916265259221
54,0.3809907807167186,COMPLETE,159,1,131,0.13657600281675567,218,0.00030757051543288665,0.0013766659394963778
55,0.3809907807167186,COMPLETE,156,2,294,0.41083187727572934,272,0.0004091512172946412,0.0029685567693811215
56,0.3809907807167186,COMPLETE,133,3,225,0.12247906361885239,289,0.0008628637479922773,0.00954593976521742
57,0.3809907807167186,COMPLETE,74,1,273,0.15512134047625506,383,0.0002539765089578451,0.0018496399639958223
58,0.3809907807167186,COMPLETE,141,2,148,0.28988799874890575,342,0.0017332831867369254,0.0005404283477297394
59,0.3809907807167186,COMPLETE,65,4,178,0.19951410368763148,301,0.0004693475166177189,0.00031891765516837636
60,0.3809907807167186,COMPLETE,91,3,316,0.2507189129778835,233,0.00035579644536340514,0.0007414496365923834
61,0.3809907807167186,COMPLETE,69,4,153,0.23483137221208317,208,0.0006747351387586437,0.0013240406137460872
62,0.3809907807167186,COMPLETE,69,4,134,0.17582560281577553,248,0.0012928534857649177,0.0023819508583730062
63,0.3809907807167186,COMPLETE,111,4,120,0.28038757742064646,167,0.0014830483537728125,0.0009507737627599221
64,0.3809907807167186,COMPLETE,77,4,164,0.3180513102196182,214,0.0009982715971827635,0.0038361076446479223
