"Date, Time",TRC-DT,TRC-RT,TRC-PPL1,TRC-PPL2,pH-DT,pH-RT,pH-PPL1,pH-PPL2,cond-DT,cond-RT,cond-PPL1,cond-PPL2,fDOM-RT,fDOM-PPL1,fDOM-PPL2,TOC-RT,TOC-PPL1,TOC-PPL2,DOC-RT,DOC-PPL1,DOC-PPL2,minutes_since_start
2025/11/04 00:00,2.52,1.95,1.6588230860571065,1.3252057988014367,8.14,7.81,7.869647790913968,7.86,208.300003,211.970001,214.04408657054088,213.882524107268,6.68,6.02,6.008156822956953,1.648,1.6381072775289345,1.636,1.648,1.6396440957536669,1.636,0
2025/11/04 00:00,2.53,1.95,1.654692120975079,1.3308772073106818,8.12,7.81,7.860510138449229,7.86,208.059998,211.970001,214.1367267234626,213.679993,6.67,6.04,5.99249504918222,1.65,1.6377049446369627,1.638,1.65,1.6407236371149263,1.638,5
2025/11/04 00:00,2.53,1.95,1.6502382986524349,1.33500857615106,8.11,7.81,7.861955113978219,7.87,208.300003,211.970001,213.8516990936857,212.940002,6.69,6.045059523809524,5.98,1.646,1.636276214544898,1.627,1.646,1.6405626212313695,1.627,10
2025/11/04 00:00,2.53,1.94,1.6561421870596438,1.3313530631631116,8.1,7.81,7.857330489413549,7.86,208.300003,212.210007,213.7204871857953,213.679993,6.7,6.050119047619048,5.99,1.649,1.637697589041186,1.627,1.649,1.6391505550130483,1.627,15
2025/11/04 00:00,2.51,1.95,1.655182602994112,1.3370073020397275,8.06,7.81,7.86419781418831,7.86,208.789993,212.210007,213.99593988141785,213.190002,6.71,6.055178571428572,5.96,1.647,1.640043269174884,1.624,1.647,1.6375838610921227,1.624,20
2025/11/04 00:00,2.53,1.95,1.647719215910438,1.3405131208648802,8.05,7.81,7.8641028273636735,7.87,208.300003,212.449997,213.663645817502,213.190002,6.73,6.060238095238095,5.95,1.648,1.6349268493383695,1.626,1.648,1.6415594772972084,1.626,25
2025/11/04 00:00,2.52,1.95,1.6595135149548037,1.3441895639828776,8.03,7.81,7.86,7.867618842976306,208.550003,212.210007,213.60272771741856,213.26311855926696,6.69,6.065297619047619,5.96,1.644,1.6398317754300675,1.624,1.644,1.6384847293520997,1.624,30
2025/11/04 00:00,2.53,1.95,1.663684541310289,1.346128448652323,8.01,7.8,7.85,7.862195846851917,208.789993,212.699997,213.679993,213.25601753125383,6.71,6.03,5.955817767055798,1.648,1.635,1.6258931122636118,1.648,1.635,1.6277086231138291,35
2025/11/04 00:00,2.53,1.95,1.6524250394320616,1.3497698080239413,8.0,7.8,7.86,7.861619262013988,208.550003,212.699997,213.429993,213.65123250600809,6.72,6.07,5.959057064948854,1.646,1.636,1.6240612866246895,1.646,1.636,1.621740212598132,40
2025/11/04 00:00,2.52,1.95,1.656015572305513,1.3526796388175717,7.99,7.81,7.85,7.86787579393616,208.789993,212.699997,213.679993,213.10010754387773,6.71,6.11,5.963351379190186,1.653,1.638,1.631078439457787,1.653,1.638,1.6312483455091369,45
2025/11/04 00:00,2.51,1.96,1.6502549210873512,1.351503830019324,7.97,7.81,7.85,7.867556264550093,208.550003,212.940002,213.429993,213.31552053128564,6.72,6.11,5.950977642155651,1.644,1.635,1.6272406283357586,1.644,1.635,1.6272606659765794,50
2025/11/04 00:00,2.51,1.96,1.657222952234458,1.3551489307180793,7.95,7.79,7.85,7.862825009686591,208.789993,212.449997,213.429993,213.11807436581208,6.65,6.1,5.951392496056073,1.647,1.633,1.6321798774749292,1.647,1.633,1.6341965598584505,55
2025/11/04 00:00,2.51,1.96,1.6551836667941306,1.35780375343353,7.94,7.8,7.852484617278949,7.87,208.550003,212.699997,213.5049702371605,212.99711739854345,6.69,6.09,5.945204561950205,1.648,1.636344026227856,1.634,1.648,1.6322940016391774,1.634,60
2025/11/04 00:00,2.51,1.96,1.661925591063075,1.3570041199778615,7.92,7.8,7.852476589521907,7.86,208.550003,212.699997,213.23928915535143,213.679993,6.63,6.05,5.955616911918684,1.648,1.6320115437944664,1.634,1.648,1.6318080590940145,1.634,65
