epoch,train_rate_mse,val_rate_mse,val_value_mse
1,0.00012669817078858614,0.00016967505507636815,0.00027478448464535177
2,0.00011148452176712453,0.00016460090409964323,0.000266713002929464
3,9.903086902340874e-05,0.0001468304544687271,0.00023757570306770504
4,8.862974937073886e-05,0.00013242466957308352,0.0002139641874236986
5,7.932698645163327e-05,0.00012011711805826053,0.0001937217457452789
6,7.095510954968631e-05,0.00011500628897920251,0.00018563400954008102
7,6.415554526029155e-05,0.0001103599279304035,0.00017823366215452552
8,5.939925540587865e-05,0.00010458282486069947,0.0001687067124294117
9,5.509985567186959e-05,0.00010805270721903071,0.00017468039004597813
10,5.101376154925674e-05,0.00010489798296475783,0.0001695459068287164
11,4.79729897051584e-05,0.00010134047624887899,0.0001637421373743564
12,4.5058608520776033e-05,9.795630467124283e-05,0.00015825543960090727
13,4.335272387834266e-05,0.00010042540088761598,0.00016245704318862408
14,4.1546027205185965e-05,9.862973092822358e-05,0.00015940751472953707
15,4.0104900108417496e-05,9.853005758486688e-05,0.00015924642502795905
16,3.842899968731217e-05,9.597612370271236e-05,0.00015500654990319163
17,3.6744393582921475e-05,9.410189522895962e-05,0.00015194469597190619
18,3.5271594242658466e-05,8.979254198493436e-05,0.00014478857337962836
19,3.403747177799232e-05,8.891010656952858e-05,0.00014337405445985496
20,3.3345557312713936e-05,8.6275402281899e-05,0.00013893761206418276
21,3.248836219427176e-05,8.373035961994901e-05,0.00013470608973875642
22,3.150980774080381e-05,8.130014612106606e-05,0.00013072986621409655
23,3.0804290872765705e-05,8.13022197689861e-05,0.00013078523625154048
24,3.0256869649747387e-05,8.11840218375437e-05,0.0001306265330640599
25,2.9840270144632086e-05,8.090226037893444e-05,0.00013014844444114715
26,2.9284085030667484e-05,7.934246968943626e-05,0.00012757642252836376
27,2.8856404242105782e-05,7.774511323077604e-05,0.0001249333581654355
28,2.8327798645477742e-05,7.703898882027715e-05,0.00012376668746583164
29,2.7845911972690374e-05,7.440887566190213e-05,0.0001193421267089434
30,2.7474114176584408e-05,7.371532410616055e-05,0.0001182202686322853
31,2.7061463697464205e-05,7.313538662856445e-05,0.00011727627861546353
32,2.672495975275524e-05,7.358290167758241e-05,0.00011801017535617575
33,2.6402749426779337e-05,7.284371531568468e-05,0.00011677340808091685
34,2.604702785902191e-05,7.253805233631283e-05,0.00011633545364020392
35,2.5818533686106093e-05,7.316567644011229e-05,0.00011737096792785451
36,2.553529520810116e-05,7.288767665158957e-05,0.00011690040992107242
37,2.5331897631986067e-05,7.270751666510478e-05,0.00011658754374366254
38,2.4975543055916205e-05,7.235373777803034e-05,0.00011603532766457647
39,2.4833343559294008e-05,7.231467316159979e-05,0.00011596686817938462
40,2.465644502080977e-05,7.210559124359861e-05,0.00011557302786968648
41,2.449121166137047e-05,7.344155164901167e-05,0.00011763758084271103
42,2.4244800442829728e-05,7.298296259250492e-05,0.0001169230745290406
43,2.3886546841822565e-05,7.315263064811006e-05,0.00011720799375325441
44,2.3763861463521607e-05,7.28772793081589e-05,0.00011663899203995243
45,2.3534277715953067e-05,7.324358011828735e-05,0.00011726433149306104
46,2.3351929485215805e-05,7.344430196098983e-05,0.00011758691834984347
47,2.3293572667171247e-05,7.397378794848919e-05,0.00011847941641462967
48,2.3058741135173477e-05,7.38914604880847e-05,0.00011835459736175835
49,2.2894253561389633e-05,7.339331205002964e-05,0.00011757391621358693
50,2.2733036530553363e-05,7.324103353312239e-05,0.00011737416207324713
51,2.2645854187430814e-05,7.297768024727702e-05,0.00011692867701640353
52,2.2504542357637547e-05,7.288697815965861e-05,0.000116708230052609
53,2.2345524484990165e-05,7.26149373804219e-05,0.00011631566303549334
54,2.217582550656516e-05,7.24005585652776e-05,0.00011598654964473099
