trial_number,value,bagging_temperature,depth,l2_leaf_reg,learning_rate,random_strength,subsample
0,0.4830335762316745,0.3506045461270864,10,1.9559194209330588,0.00458409888731133,0.13759072532365896,0.7962208236463935
1,0.494981586952602,0.009196402652827413,7,9.641007166330226,0.021075668426027643,0.5971814610134738,0.6277725167610112
2,0.47209714862625596,0.014825240957916415,12,6.3904098170436745,0.002572236069423945,0.1155035134464001,0.9174362355956455
3,0.49377240786454085,0.63701064843955,4,4.973525801144701,0.0021418251730161426,0.9287881705245911,0.9316224329069004
4,0.49908593081234603,0.8675961147224031,9,3.0114863554411393,0.003853093717573127,0.5362211955165659,0.609224267591276
5,0.48082015125804817,0.46540927478359295,12,7.318626650787756,0.002907096656583823,0.32507364204611616,0.8563319118748498
6,0.4889831878247773,0.012423989462530666,8,1.1664726807439558,0.005588111828344647,0.4262009678327608,0.6714663847442899
7,0.47671200990090573,0.003918158898479615,10,2.965908433554192,0.0039029706612683183,0.15386151612163534,0.6786408232560208
8,0.4997531604611057,0.023002102446218416,9,2.5152837148736413,0.019376569835276553,0.7963415506500571,0.8921411905636099
9,0.4755857209079179,0.06448773721845168,11,5.111907467719572,0.003930592680259073,0.16411613609942902,0.6628302742118993
10,0.4977187572035151,0.0010382531677900235,6,5.195816264190931,0.011561490369868649,0.10723679051245144,0.9787499978711732
11,0.4794961998058677,0.09327628501911239,12,5.161177607844789,0.007993194174868087,0.2004081289347485,0.7428034000025332
12,0.476584353131567,0.07473065581007693,12,6.5991466190186125,0.0022362391235794896,0.2211790015020023,0.7759694472716883
13,0.4811470373936834,0.08692297848672345,11,4.171462956783505,0.007432290225787534,0.10000848971856438,0.7229588847210672
14,0.4831220299299755,0.0429279601811394,11,9.949859642162085,0.0028069892743541832,0.22366582712481692,0.828063192552065
15,0.4854045277308277,0.1961219957779371,11,3.9192382393456016,0.003114561294310819,0.1585109359302032,0.6888701622975901
16,0.473017279755718,0.00442389995051236,10,7.1944115968794655,0.005935666874602866,0.26900325881089326,0.9744990789154022
17,0.4812472606731237,0.002992586468973599,9,6.983673523925199,0.011526375915410716,0.2870593615128496,0.9743860708796398
18,0.48267343173856325,0.004263451631041512,10,7.927914199773926,0.005949933316756679,0.34284651721006976,0.9151827937173217
19,0.48970320602707235,0.0014519580296792239,5,1.3058825398876777,0.02860124642173058,0.46670186036417627,0.8528378088068602
20,0.4787519428540879,0.010097945639469603,8,6.266271814856655,0.010749083662241225,0.2713345063453165,0.9836436232653644
21,0.4752185836950061,0.02151946362847446,11,4.11567612524175,0.004734691570522118,0.13320559967030127,0.9399505536914415
22,0.47798859077640543,0.02101744516571556,12,4.197097181453317,0.005059100544652905,0.1250908075654996,0.936562020229463
23,0.47136576085390963,0.007194707197756531,10,8.397560874697557,0.006961292648980595,0.1824050541318924,0.8915609571768927
24,0.4779873712740402,0.005466293914534062,10,8.27841399716666,0.007461513514204605,0.1845941861505234,0.8776392475904109
25,0.4865556047599764,0.002316576396530155,8,6.069606264313225,0.009357344492329838,0.24799919428452166,0.8176866314911931
26,0.4798427536305703,0.006421503168438545,9,8.771445595431132,0.015006557508380518,0.11792156225878157,0.9976060279005
27,0.4769821640751351,0.013886392175026867,10,5.74729584722984,0.006464877872329182,0.18951682408326223,0.8944992350393117
28,0.49769433170010663,0.007991733186825426,7,8.22848048797081,0.008938078495064561,0.3863697090512006,0.9572086628823177
29,0.4856214022449305,0.002167712488198753,10,2.5428706777791072,0.014431553161828462,0.13866691358106892,0.806131887370939
30,0.486791758652545,0.04422447500805005,7,1.496125747995035,0.0034043562572625844,0.2489454643123059,0.8543983431509752
31,0.4745193733521192,0.01753084597329266,11,3.797399366731612,0.0046887494065471986,0.13670038713160215,0.9482607898083276
32,0.48112593169033774,0.016399723690914213,11,7.33121549303869,0.0064932178731406595,0.16759156571800443,0.9174363118874337
33,0.47221416920427406,0.03585893849062319,12,1.9220702831618595,0.004848124239549988,0.14406700070373293,0.951969683179477
34,0.47991094216761027,0.034897173828783844,12,1.761459034620319,0.002438904063065521,0.1142567135132477,0.9008983229315921
35,0.4703303420623766,0.009316202744722836,12,2.158462443092509,0.004236256750023182,0.20884142954836662,0.872036943546143
36,0.4806707971679767,0.17164671575671708,12,2.1904979905265236,0.004060337171429512,0.14651996647978688,0.8755393110566708
37,0.473295283286525,0.008312196623252128,12,1.829436473804624,0.0025794019127441956,0.1806951540950205,0.7748117789950876
38,0.48179190057891946,0.011167022521552331,12,1.0345075558369825,0.003416501281389354,0.21695707773271083,0.8362301800123172
39,0.4769895386255512,0.02689971067888953,9,2.377994327689514,0.0020236337854635275,0.12659670198498307,0.8732023382159824
40,0.49727511495659044,0.052152532580548625,4,1.5860143659169952,0.004263319139316578,0.7042345263874631,0.7933971356468992
41,0.4773903003499314,0.004107677404080235,10,2.1087378143715028,0.005384327524567789,0.28734297170908957,0.927348925184106
42,0.4637343434369745,0.00712539838849307,11,3.267174853263103,0.00658054119948799,0.2036661024268646,0.9668687284787658
43,0.4681082662089669,0.00690921429258876,11,3.3197951766168377,0.00341100294837775,0.1733649763929969,0.9532191823716271
44,0.47421373075028256,0.007177049174946892,11,2.9302801843416493,0.0033719311561118993,0.2103357333338245,0.9126105478391734
45,0.4726083210739049,0.0027569866716648105,11,3.498016661417703,0.002968299963444765,0.18035589522116371,0.9632771169388903
46,0.474724906611849,0.011630671835391498,11,2.7321573687026435,0.0027340233551833458,0.23395290609437291,0.9984336442745427
47,0.48019949706528026,0.005633504666996476,12,3.4984780957892814,0.0036826487503504126,0.16914961933505507,0.6325802828633268
48,0.4791487224319169,0.009514767825723348,11,4.611488731388541,0.0023158173380809378,0.10326242918434791,0.8907706363651671
49,0.47630726865468725,0.013885631152451252,12,3.1533065763143413,0.006390537773198392,0.1557926930272679,0.8402229852412137
50,0.4736788847285913,0.0031510154998078046,11,4.636283766231189,0.008350434913070746,0.19851378273895584,0.9218479699144829
51,0.46805961173248695,0.029465355884790188,12,9.296738613765159,0.004358341130257301,0.1505387956202519,0.9518721401922275
52,0.4712420728455547,0.028579207593699134,12,9.514406929097238,0.004249497746944542,0.16763278796789977,0.9384720359619667
53,0.47572794787178924,0.02378581459379335,12,9.232642601694682,0.004289973740633007,0.17014445391492936,0.9646882982583785
54,0.46798538185180544,0.11641582059751354,11,8.792448184110679,0.005315252024305909,0.20796345871933378,0.9404459685826115
55,0.46954145272974995,0.20863352255484194,11,9.151322698482552,0.005345467031359761,0.19869796776569787,0.9387388997626172
56,0.4754075783706286,0.3217026463206623,11,7.71423190039581,0.005668207000953885,0.30850843854373594,0.9721604176680428
57,0.47465997312491665,0.13041456296194442,10,5.723027804461052,0.005309557569835092,0.24371644717932958,0.9850400870154209
58,0.476524919947064,0.32625150413458426,11,9.979207689074961,0.0035895258686406205,0.21535266701613914,0.9050847773597092
59,0.49516274577708225,0.894611537144327,6,6.90997199910362,0.0031544435690502295,0.20023879715901893,0.734624127272954
60,0.4751236555985892,0.23546314523647932,10,8.871404392657903,0.004744783809438434,0.2663058769552395,0.9399144390764196
61,0.4703208342973,0.11896979619022739,12,8.962742773468804,0.003962647080123383,0.1594291518015219,0.9339061547786591
62,0.47013671666771123,0.5982017626463283,12,9.08924643165383,0.003852027623693926,0.1518479149859578,0.9269552145813473
63,0.4771279431148492,0.6145153080498177,12,7.618418986928348,0.0038949998134598304,0.15510370983812125,0.9547764001317454
64,0.4732793965770255,0.09936810835689502,11,9.20594048478895,0.005175883051779152,0.15413625500693023,0.9280091872648847
65,0.46867833140841414,0.41983787608999795,12,8.535159048458642,0.005751251060657401,0.13117025970933144,0.9929366213983866
66,0.4731776508836482,0.5638598997973504,11,6.416728823997903,0.007074760635031293,0.1282011643367253,0.993504535738164
67,0.4810408877855212,0.2553873811471159,11,7.966867494888175,0.005927316939071167,0.11396186907260782,0.9601868607672976
68,0.46490827229672305,0.4597501412130524,12,8.488313137602184,0.006116393097388859,0.14488984586818449,0.9802598374833607
69,0.4709749660635569,0.4296229803499543,10,8.399529476295816,0.007968793603663992,0.13933128069746648,0.9817980046523074
70,0.4773702451742694,0.4372742881874705,11,6.8756219132004395,0.009831527014172715,0.11837630583991732,0.7058380315048237
71,0.4718627142322834,0.6587645238265702,12,9.952711660225697,0.006403897495017872,0.19137492687585997,0.9731180848197668
72,0.4703722332424649,0.7906051867481889,12,8.670580133038792,0.005601013342910323,0.1448915695043997,0.9841165689198024
73,0.4695181573101326,0.3635163231281625,12,7.438888358067691,0.004488540732824444,0.17906215308537587,0.9526805882191203
74,0.4731401184880053,0.2565536386427206,12,7.42409249904584,0.004586969603867059,0.17535133972747813,0.9451445119939914
75,0.4672183598497504,0.15691124695983227,11,5.853657004634653,0.006889172850726736,0.2289087748563649,0.966303191539376
76,0.4694707656630706,0.06152407595472585,12,6.123783596499749,0.0071303855587162655,0.23420519408871393,0.9724544707447584
77,0.4841456924831106,0.05971833370850645,12,4.890301261175525,0.007118582427308993,0.9726207821993481,0.9952265788180858
78,0.48026179996274937,0.07559799431234973,11,5.917748772328563,0.007699634913480141,0.34378491230858266,0.9646022375135987
79,0.4825423944559122,0.13461642329230034,9,3.6666678783587714,0.006726479197050132,0.22709744334014018,0.9765104732855874
80,0.4846990862071368,0.046362882146299376,11,5.224013996145381,0.0086179661091031,0.2607624089555129,0.9045178480955022
81,0.4759399965140024,0.1765676766146212,12,5.547824213409793,0.006065574608688978,0.2367075942299104,0.9560010930704463
