trial_number,value,colsample_bytree,learning_rate,max_depth,min_child_samples,reg_alpha,reg_lambda,subsample
0,0.15957344492271522,0.6870026519219288,0.00580565326925369,4,64,0.16618202645506966,2.811513108177492,0.6068730832741902
1,0.15975536451587738,0.826969148239495,0.0024804439825619824,14,37,0.002742970145946271,3.5987855278767453,0.6357196516845828
2,0.15762742483954054,0.7281802361216548,0.00896174271429779,13,19,0.04655236016830654,1.6850575701595012,0.9389961931401434
3,0.15581464499710396,0.8485140354755732,0.004682077645680735,29,85,0.07802564022726911,2.868495369185897,0.9274480297311956
4,0.15238745965041325,0.8236405993599849,0.004185661660197595,9,71,0.0013693922724348126,0.6921809606680375,0.7685120651043112
5,0.15940633824447692,0.8363826998831918,0.01750661180957776,12,66,0.11888422572233485,3.2721626994478905,0.7594556398137118
6,0.16055505613128593,0.8673759778785081,0.005434449134496418,22,67,0.025009788981731305,3.9059558498901175,0.9907374011056189
7,0.16095306748993796,0.6387502176894999,0.015656192595342018,22,84,0.054779550288695494,3.2854899074776975,0.8843106154807076
8,0.15704324725711563,0.6608291472754693,0.003509247778463253,18,87,0.002101640610012162,2.0730333250769775,0.9357916967400736
9,0.15376539925169638,0.6922520718040481,0.010057763818476562,9,63,1.0546511284886892,0.5099239872632236,0.6146456578172383
10,0.1624733467286545,0.9894680620947277,0.0022728181670156958,4,100,0.008132778940695258,0.7682929452536653,0.7507539818419773
11,0.16009891423903158,0.7511946576059595,0.009317639846261867,8,44,1.9832147710751808,0.5279169008914267,0.6825097555652351
12,0.15758763833049722,0.7137564417180007,0.009740502647538838,9,54,1.5971082562372727,0.9162479552288538,0.8167773645138375
13,0.15939036287966638,0.6210030279963416,0.0036747407832383493,8,75,0.46150050957791733,0.5299674246387485,0.6703046555648323
14,0.16044987652006737,0.9464225096689849,0.01195005910196652,17,50,0.001043378032867105,0.9546710385635473,0.7129184890156275
15,0.16061345786414594,0.7896462416193705,0.007093531560175287,9,31,0.011549643814934653,0.7061262240096524,0.8230554631985386
16,0.15606397092774382,0.9075842604454561,0.004064190242122413,17,11,0.42989717788595816,1.2080654648023235,0.6032082761855353
17,0.15973936776838724,0.7824442601176317,0.007319773621545572,11,73,0.42335706841245874,0.6338611715882482,0.8139036129894747
18,0.15766951643473226,0.6888339187289795,0.01365429667427311,5,95,0.007734768352667005,1.2813018920491477,0.720669099554229
