trial_number,value,batch_size,dropout,history_length,learning_rate,num_layers,units,weight_decay
0,0.4480159669400689,381.0336835637246,0.4527758056707176,56.238198998498405,0.001044777892636175,8.854356412573406,167.45154913796995,0.0008028490023582567
1,0.7376638308780904,81.23005971075563,0.2813688312371054,65.53190847319553,0.0006849893613961851,6.635499778571761,224.0082430101023,0.0024202997464274553
2,0.3148412464443081,154.6475329541184,0.3745053403503773,42.52442850727111,0.0008770693848811313,3.297230890387911,167.4306603361411,0.003995846851644278
3,0.6015889720154737,277.020407941881,0.49242241672893466,91.67185005567393,0.001008277848573234,9.946135015216559,271.1653842041968,0.003981780332965794
4,0.652894215348238,264.40395095190604,0.4079115476201797,140.39245968621796,0.0007691616072922127,9.478139738498054,264.3595458700721,0.0008385237854847635
5,0.5219787297759227,229.27067389411854,0.40009917268060224,134.92699219208902,0.001253235455751899,4.00247407665331,131.20988175435212,0.0008222333090938689
6,0.3780292183339239,365.52878911403997,0.39471484564153136,46.83591395537438,0.000338257732293152,8.106059443100172,104.51363750020009,0.0004425754288976984
7,0.5981439691103861,120.1828167194438,0.4773012924392701,115.42508816039108,0.00022448339150391556,8.985768499569433,335.46862338284643,0.00014988514220345804
8,0.5439082356805574,282.91258041337005,0.46199229469826986,143.4192060979983,0.00024101108734860883,3.9144007811259494,157.3084677866587,0.0036605749790752998
9,0.6211021002448961,329.2490648457525,0.47834399903201463,67.95145662878858,0.0012522332750889622,8.193326862178488,199.56718776643697,0.00039489464504309307
10,0.559639132067472,154.53562107156517,0.30071506570327133,32.80339100409829,0.0018522205167250917,2.430729182559051,64.58509339118984,0.007136304563481339
11,0.5671626288733796,176.63283224669027,0.21243269811174445,36.35358425406565,0.00043022811921643604,6.837560826332596,85.18196312038815,0.0002410737264695351
12,0.47843624780813376,185.67980812207583,0.36222388474885003,89.2154883059787,0.0004480302569943505,5.3269081186048055,120.51756640385446,0.0017088207283357676
13,0.6982584542678502,374.65199138312425,0.33901306111353224,49.901870046325016,0.00038762222547239787,7.635476316850896,110.2706519769313,0.009835138153607106
14,0.3498641660916591,218.74259305705755,0.40615902624514133,76.14088510288268,0.0003204924944499013,2.54890003529669,194.68028534591016,0.00036789847967640934
15,0.36336102040852614,211.8752923453328,0.3463108865785507,76.98969901903516,0.0005690921116672986,2.390894254371847,221.8437861334601,0.001841968287972526
16,0.3758278414763198,111.65371434570565,0.4268405190159773,103.19678034051208,0.00029999881168245193,3.585737285121819,277.9582507778023,0.00011682431770920254
17,0.38745090141892435,149.09510509552638,0.3035220324024236,158.33753188056647,0.0005560829625582798,5.268416475609334,175.35732252108843,0.00045417652514643224
18,0.6482897305113827,227.90830831881397,0.3697674148244237,76.58022185353748,0.0008407255148383321,3.1580020200737042,373.08989334020106,0.00024830351761225477
19,0.6543156229807231,84.7727203182379,0.43261543137414676,60.30680690913431,0.0018531335555842935,5.133599331692349,240.39794045985764,0.001427166452705539
20,0.38732656318984343,192.7171697293447,0.2523701733899253,106.86269043450659,0.0005404143244013085,2.9028352013328624,191.07511383912828,0.004152453540226133
21,0.3238598223217947,208.09118088597606,0.33108365483695307,78.83273433955969,0.0005532979251188668,2.2524961681232822,204.16490374404378,0.0021621618292685654
22,0.46810092272872694,253.88034768190812,0.32312410858932866,77.73366287052437,0.00033857154921128015,4.474493239435587,137.27572708352764,0.0030819342283878314
23,0.3667641289264499,149.17038881253288,0.37888644170324465,121.00109031083655,0.0002668503723651029,2.269927767068162,214.41461749494803,0.0013214348070583035
