run_id,status,best_val_loss,history_length,units,num_layers,dropout,batch_size,learning_rate,weight_decay
0001,failed,,32,128,4,0.2,128,0.0004,0.0
0002,failed,,32,128,4,0.2,128,0.0004,0.002
0003,failed,,32,128,4,0.2,128,0.0004,0.004
0004,failed,,32,128,4,0.2,128,0.0004,0.006
0005,failed,,32,128,4,0.2,128,0.0004,0.008
0006,failed,,32,128,4,0.2,128,0.0004,0.01
0007,failed,,32,256,4,0.2,128,0.0004,0.0
0008,failed,,32,256,4,0.2,128,0.0004,0.002
0009,failed,,32,256,4,0.2,128,0.0004,0.004
0010,failed,,32,256,4,0.2,128,0.0004,0.006
0011,failed,,32,256,4,0.2,128,0.0004,0.008
0012,failed,,32,256,4,0.2,128,0.0004,0.01
0013,failed,,32,384,4,0.2,128,0.0004,0.0
0014,failed,,32,384,4,0.2,128,0.0004,0.002
0015,failed,,32,384,4,0.2,128,0.0004,0.004
0016,failed,,32,384,4,0.2,128,0.0004,0.006
0017,failed,,32,384,4,0.2,128,0.0004,0.008
0018,failed,,32,384,4,0.2,128,0.0004,0.01
0019,failed,,32,512,4,0.2,128,0.0004,0.0
0020,failed,,32,512,4,0.2,128,0.0004,0.002
0021,failed,,32,512,4,0.2,128,0.0004,0.004
0022,failed,,32,512,4,0.2,128,0.0004,0.006
0023,failed,,32,512,4,0.2,128,0.0004,0.008
0024,failed,,32,512,4,0.2,128,0.0004,0.01
0025,failed,,32,640,4,0.2,128,0.0004,0.0
0026,failed,,32,640,4,0.2,128,0.0004,0.002
0027,failed,,32,640,4,0.2,128,0.0004,0.004
0028,failed,,32,640,4,0.2,128,0.0004,0.006
0029,failed,,32,640,4,0.2,128,0.0004,0.008
0030,failed,,32,640,4,0.2,128,0.0004,0.01
0031,failed,,32,768,4,0.2,128,0.0004,0.0
0032,failed,,32,768,4,0.2,128,0.0004,0.002
0033,failed,,32,768,4,0.2,128,0.0004,0.004
0034,failed,,32,768,4,0.2,128,0.0004,0.006
0035,failed,,32,768,4,0.2,128,0.0004,0.008
0036,failed,,32,768,4,0.2,128,0.0004,0.01
0037,failed,,32,896,4,0.2,128,0.0004,0.0
0038,failed,,32,896,4,0.2,128,0.0004,0.002
0042,success,0.403073,32,256,4,0.2,128,0.0004,0.0
0043,success,0.425672,32,256,4,0.2,128,0.0004,0.001
0044,success,0.427871,32,256,4,0.2,128,0.0004,0.01
0045,success,0.413221,32,512,4,0.2,128,0.0004,0.0
0046,success,0.392208,32,512,4,0.2,128,0.0004,0.001
0047,success,0.414552,32,512,4,0.2,128,0.0004,0.01
0048,success,0.409713,32,768,4,0.2,128,0.0004,0.0
0049,success,0.436807,32,768,4,0.2,128,0.0004,0.001
0050,success,0.518121,32,768,4,0.2,128,0.0004,0.01
0051,success,0.429684,32,1024,4,0.2,128,0.0004,0.0
0052,success,0.540437,32,1024,4,0.2,128,0.0004,0.001
0053,success,0.472724,32,1024,4,0.2,128,0.0004,0.01
0054,success,0.384691,32,256,8,0.2,128,0.0004,0.0
0055,success,0.440620,32,256,8,0.2,128,0.0004,0.001
0056,success,0.555641,32,256,8,0.2,128,0.0004,0.01
0057,success,0.383464,32,512,8,0.2,128,0.0004,0.0
0058,success,0.552058,32,512,8,0.2,128,0.0004,0.001
0059,success,0.616493,32,512,8,0.2,128,0.0004,0.01
0060,success,0.360781,32,768,8,0.2,128,0.0004,0.0
0061,success,0.692878,32,768,8,0.2,128,0.0004,0.001
0062,success,0.707754,32,768,8,0.2,128,0.0004,0.01
0063,success,0.440495,32,1024,8,0.2,128,0.0004,0.0
0064,success,0.864831,32,1024,8,0.2,128,0.0004,0.001
0065,success,0.465176,32,1024,8,0.2,128,0.0004,0.01
0066,success,0.569646,32,256,16,0.2,128,0.0004,0.0
0067,success,0.910911,32,256,16,0.2,128,0.0004,0.001
0068,success,0.915925,32,256,16,0.2,128,0.0004,0.01
0069,success,0.627164,32,512,16,0.2,128,0.0004,0.0
0070,success,0.919302,32,512,16,0.2,128,0.0004,0.001
0071,success,0.915895,32,512,16,0.2,128,0.0004,0.01
0072,success,0.611776,32,768,16,0.2,128,0.0004,0.0
0073,success,0.558718,32,768,16,0.2,128,0.0004,0.001
0074,success,0.915528,32,768,16,0.2,128,0.0004,0.01
0075,success,0.549849,32,1024,16,0.2,128,0.0004,0.0
0076,success,0.910848,32,1024,16,0.2,128,0.0004,0.001
0077,success,0.917264,32,1024,16,0.2,128,0.0004,0.01
0078,success,0.548728,32,256,32,0.2,128,0.0004,0.0
0079,success,0.916173,32,256,32,0.2,128,0.0004,0.001
0080,success,0.915959,32,256,32,0.2,128,0.0004,0.01
0081,success,0.532053,32,512,32,0.2,128,0.0004,0.0
0082,success,0.915954,32,512,32,0.2,128,0.0004,0.001
0083,success,0.916078,32,512,32,0.2,128,0.0004,0.01
0084,success,0.861789,32,768,32,0.2,128,0.0004,0.0
0085,success,0.916076,32,768,32,0.2,128,0.0004,0.001
0086,success,0.915876,32,768,32,0.2,128,0.0004,0.01
0087,success,0.549271,32,1024,32,0.2,128,0.0004,0.0
0088,success,0.915705,32,1024,32,0.2,128,0.0004,0.001
0089,success,0.915847,32,1024,32,0.2,128,0.0004,0.01
0090,success,0.428550,32,256,4,0.2,128,0.0008,0.0
0091,success,0.415515,32,256,4,0.2,128,0.0008,0.001
0092,success,0.413562,32,256,4,0.2,128,0.0008,0.01
0093,success,0.460531,32,512,4,0.2,128,0.0008,0.0
0094,success,0.423457,32,512,4,0.2,128,0.0008,0.001
0095,success,0.711427,32,512,4,0.2,128,0.0008,0.01
0096,success,0.439911,32,768,4,0.2,128,0.0008,0.0
0097,success,0.385908,32,768,4,0.2,128,0.0008,0.001
0098,success,0.483269,32,768,4,0.2,128,0.0008,0.01
0099,success,0.578705,32,1024,4,0.2,128,0.0008,0.0
0100,success,0.405815,32,1024,4,0.2,128,0.0008,0.001
0101,success,0.479877,32,1024,4,0.2,128,0.0008,0.01
0102,success,0.546540,32,256,8,0.2,128,0.0008,0.0
0103,success,0.541614,32,256,8,0.2,128,0.0008,0.001
0104,success,0.704342,32,256,8,0.2,128,0.0008,0.01
0105,success,0.893201,32,512,8,0.2,128,0.0008,0.0
0106,success,0.951235,32,512,8,0.2,128,0.0008,0.001
0107,success,0.915949,32,512,8,0.2,128,0.0008,0.01
0108,success,0.622529,32,768,8,0.2,128,0.0008,0.0
0109,success,0.628819,32,768,8,0.2,128,0.0008,0.001
0110,success,0.916166,32,768,8,0.2,128,0.0008,0.01
0111,success,0.799551,32,1024,8,0.2,128,0.0008,0.0
0112,success,0.557341,32,1024,8,0.2,128,0.0008,0.001
0113,success,0.891730,32,1024,8,0.2,128,0.0008,0.01
0114,success,0.536932,32,256,16,0.2,128,0.0008,0.0
0115,success,0.936395,32,256,16,0.2,128,0.0008,0.001
0116,success,0.915159,32,256,16,0.2,128,0.0008,0.01
0117,success,0.573542,32,512,16,0.2,128,0.0008,0.0
0118,success,0.526534,32,512,16,0.2,128,0.0008,0.001
0119,success,0.915998,32,512,16,0.2,128,0.0008,0.01
0120,success,0.647890,32,768,16,0.2,128,0.0008,0.0
