run_id,status,best_val_loss,history_length,units,num_layers,dropout,batch_size,learning_rate,weight_decay
0121,success,1.188988,32,768,16,0.2,128,0.0008,0.001
0122,success,0.915493,32,768,16,0.2,128,0.0008,0.01
0123,success,0.595633,32,1024,16,0.2,128,0.0008,0.0
0124,success,0.827290,32,1024,16,0.2,128,0.0008,0.001
0125,success,0.916847,32,1024,16,0.2,128,0.0008,0.01
0126,success,0.535606,32,256,32,0.2,128,0.0008,0.0
0127,success,0.916679,32,256,32,0.2,128,0.0008,0.001
0128,success,0.915987,32,256,32,0.2,128,0.0008,0.01
0129,success,0.841470,32,512,32,0.2,128,0.0008,0.0
0001,success,0.508321,64,192,8,0.3,192,0.0006,0.0,,
0002,success,0.473676,64,192,8,0.3,192,0.0008,0.0,learning_rate,0.0008
0003,success,0.385918,64,192,8,0.3,192,0.0006,0.0,,
0004,success,0.348942,64,192,8,0.35,192,0.0006,0.0,dropout,0.35
