trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.gamma,parameters.reg_lambda,parameters.min_child_weight
17,0.3258046106584057,COMPLETE,16,0.021186103994410503,0.8411484596540093,0.699929602664618,0.004989806112511909,3.185986559188151,2
18,0.3258046106584057,COMPLETE,27,0.006504005036824076,0.921771710569886,0.606626319016001,0.26544945315127133,1.813785382020627,4
19,0.3258046106584057,COMPLETE,20,0.029101713465814978,0.771222181980384,0.9127446807815301,0.060277553758118864,4.9789952191503914,1
20,0.3258046106584057,COMPLETE,10,0.011157328317319937,0.998479785802115,0.758762786970916,0.011369666174929138,1.2038999425032693,2
21,0.3258046106584057,COMPLETE,10,0.0021804849800207255,0.6777341048964896,0.7960403686722798,0.0021896202611249613,0.8858620944085605,8
22,0.3258046106584057,COMPLETE,10,0.006074165894294137,0.7150538874038738,0.8012733559791179,0.031444669640127355,1.0439709488396844,7
23,0.3258046106584057,COMPLETE,16,0.002980044803751403,0.6659970600743186,0.7375909563146793,0.011276618038892473,0.7308113822623474,7
24,0.3258046106584057,COMPLETE,21,0.00562016318413895,0.7286548226078752,0.6812396469943495,0.2694793983445299,0.5525031463016664,4
25,0.3258046106584057,COMPLETE,4,0.00285321243041444,0.7998610834363407,0.7885971171745346,1.5874305697696547,1.4815761714825029,5
26,0.3258046106584057,COMPLETE,12,0.0092489183299223,0.8506398337331939,0.824107278028654,0.0027308097663257427,0.9722562666944459,8
27,0.3258046106584057,COMPLETE,27,0.01877109873005151,0.9111810624806276,0.8839593823792108,0.18091495378124933,0.7174822830545589,7
28,0.3258046106584057,COMPLETE,15,0.013177844760116039,0.7623256392639592,0.7588809945125298,0.05087052680069134,2.1940050742240804,2
29,0.3258046106584057,COMPLETE,8,0.004656783107059338,0.708088411809647,0.7335967269833219,0.5766375674014472,0.8397281252336928,6
30,0.3258046106584057,COMPLETE,6,0.003701448516387517,0.6532144562408608,0.7681916199665908,0.0073485311554879916,1.0868415541725676,5
