trial_number,value,batch_size,d_conv,d_model,d_state,dropout,expand,history_length,learning_rate,n_layers,weight_decay
0,0.40536374220523297,165,5,512,49,0.2785573185410223,3,135,0.0009298069702237657,6,0.004721570047192075
1,0.32177284493475844,241,3,244,21,0.10681009220628755,2,115,0.0011425798283193219,5,0.00015309957850856662
2,0.3813977234056859,182,2,383,36,0.21800940586827053,2,54,0.0005358352536178116,5,0.007697876469712982
3,0.3862050262957635,322,2,469,22,0.20284816531416092,4,82,0.0007155315719321649,8,0.007917582607328147
4,0.41091853075770923,180,6,178,45,0.14732668742005112,2,98,0.0017736717386383038,12,0.003520850826067353
5,0.3744915629633599,246,7,343,18,0.4222611273777605,3,44,0.0008890702376938637,11,0.004299897250453752
6,0.39185283861529413,133,4,238,44,0.4907743472296827,4,83,0.0007319334249898458,2,0.00013858265625480586
7,0.3980005577243587,147,8,389,37,0.4394304732346961,4,160,0.0012501047368019109,5,0.0001057695548299459
8,0.3897148645323951,298,3,372,12,0.30536992007613817,4,132,0.0016952384444143826,6,0.0001804992960919368
9,0.44120594030036064,132,5,414,45,0.16570021719940473,4,176,0.0006226026831147096,4,0.008980501503909505
10,0.42031650619981936,374,4,69,64,0.10216089313395892,2,126,0.000420832972870976,9,0.00045629619626746763
11,0.37548401140648385,237,8,281,20,0.10224058732277981,3,47,0.0010679431536381643,11,0.0013008658006579228
12,0.37560692947170876,236,7,189,9,0.351638882500424,3,39,0.0012823691820929729,10,0.0013308815393635158
13,0.4084749414089197,285,7,308,25,0.1345799370199826,3,102,0.0009049655797687119,2,0.0005269892487859708
14,0.3892594517047761,210,6,313,27,0.3601723383274343,2,70,0.0013775235400880664,8,0.0019873796648937894
15,0.3332542178807435,264,3,117,16,0.18101016072508766,2,152,0.001076237680133957,12,0.0002815351552658599
16,0.39029269169694114,277,3,77,31,0.1229267085081236,2,152,0.0015048956300595696,4,0.0002834783743201682
17,0.34114725651708183,342,3,136,15,0.18835698898669828,2,175,0.0011358952910881688,7,0.00029527802848383254
18,0.4640338559750344,211,4,123,9,0.2532423265922936,2,117,0.0019508691536446244,3,0.0006497176969182339
19,0.37095223183815296,265,2,241,31,0.17163414995382492,2,147,0.0010248319098033456,12,0.0002307281866329028
20,0.40625069340696845,314,3,208,17,0.12380760925021618,2,187,0.0007549607674062255,9,0.0003685832169525436
21,0.37298465963276545,355,3,138,16,0.18963489024317723,2,168,0.0011261107315885537,7,0.0007672273492582359
22,0.33131119146104254,337,4,127,13,0.2421968811751347,2,191,0.0011816331535409218,7,0.0002885025574486243
23,0.3270342973462399,213,4,98,8,0.23929061774879176,3,190,0.0014941561754249733,5,0.0001781376484417283
24,0.37626716299135177,212,4,158,8,0.2453556638763076,3,186,0.0015017657138549478,6,0.00016844613148174364
25,0.42967825939383686,222,5,96,12,0.31749803223669637,3,192,0.00151589581831078,5,0.0001102885607247444
26,0.38082595348953086,184,4,230,24,0.23430371050127963,3,169,0.0013202317797538338,7,0.00018902292425779677
27,0.3684991193564577,379,5,266,13,0.2741398255754528,3,144,0.0016235276230321327,4,0.0001399606134656849
28,0.4591617521472568,299,4,169,29,0.2140058280989692,2,117,0.001957102754614199,3,0.0004292795662529513
29,0.31011460766477406,196,6,107,62,0.2686622469727605,3,182,0.0009723577719271845,6,0.00023185077526130217
30,0.3806547641865146,159,6,493,63,0.27576192530637494,3,161,0.000958985744153867,6,0.00022313542797379067
31,0.4122516401932628,191,5,100,56,0.300580227037134,3,183,0.0008323733584120422,5,0.0001343031942224187
32,0.3739834357194508,201,6,151,52,0.2513122530046332,3,192,0.001220395735850816,7,0.00033896016426228495
33,0.321863081913096,230,2,98,21,0.2201332721234922,2,176,0.001001759593932432,5,0.00022909680575015044
34,0.37663775581551195,168,2,94,37,0.15190702427971833,3,177,0.0008194935503101274,5,0.00016965097909167363
35,0.43476303207014866,229,2,65,34,0.21741768247503038,4,163,0.0006468859907327021,4,0.00022029317543387005
36,0.354521872611478,249,2,210,42,0.3385757814095036,2,139,0.0009900659362241894,6,0.0006056327910616833
37,0.400901910337344,198,3,194,21,0.2063627211724486,2,68,0.0013597877182315507,3,0.00010148272462324116
38,0.45038279635108647,220,2,443,60,0.4009839312642874,3,95,0.0008297102456638584,5,0.0001367033437279063
39,0.3802235344123362,174,5,107,23,0.1500039810041396,4,178,0.0009437695456159075,8,0.00023100736459587243
40,0.39331930784862024,256,6,165,20,0.11243731829861238,3,133,0.00045171192562145664,4,0.0027834905268971045
41,0.3666696816347958,240,4,130,12,0.2702611493576833,2,170,0.0011330210030437442,6,0.0003718615385513337
42,0.3758895314422903,226,4,86,50,0.2304656813581759,2,184,0.001159468450632139,6,0.00016161298916590638
43,0.3723073690649002,150,3,115,19,0.2963930678513264,2,160,0.0012096398924441873,7,0.006334165708537311
44,0.32715081154589226,277,2,351,40,0.19548405884625172,2,179,0.0014168728393495797,5,0.0002662495884876646
45,0.4031510653229815,277,2,350,41,0.19435421842434408,4,154,0.0017442903991079883,5,0.00012300268389129696
46,0.3657942977382909,248,2,411,53,0.16021622764872284,2,180,0.001426743234239207,4,0.0002015513290762191
47,0.39388459891080857,296,3,387,34,0.1372955391667924,3,172,0.0016127255647226356,6,0.0010172170161884128
48,0.371536671936333,256,7,320,27,0.2044071841608614,2,107,0.0008962194541721675,5,0.0004871543057372564
49,0.40637064521641175,196,2,271,47,0.4829788923535034,2,88,0.0012909129716193386,3,0.00026223678501157083
50,0.38757540151133774,234,3,364,40,0.2585949362549695,3,165,0.0014213436475269564,4,0.00033952272259530193
51,0.37938134447683264,330,4,145,12,0.23306319416254231,2,192,0.0010384685941442983,6,0.00026268863362916223
52,0.352140349149704,312,5,78,10,0.17249774048824912,2,32,0.00122923883541354,8,0.0001522104777066085
53,0.36421661206157835,355,3,330,15,0.22814460823955232,2,185,0.0010728748250360444,7,0.00018883196917945382
54,0.3332935078678844,276,2,181,18,0.2895684090183231,2,60,0.0011665444607862677,9,0.0003093486574899242
55,0.38102786249493387,210,6,293,14,0.31968179403137276,2,175,0.0010198777439667697,6,0.0002486694895193854
56,0.42546688781434167,268,4,120,10,0.25941354623631113,2,157,0.0016032422957247875,5,0.00041007312526099727
57,0.35471413925636647,185,3,69,60,0.1794090892176921,2,181,0.0010924822042913717,8,0.00012421089195247098
58,0.46556294109774216,243,8,245,26,0.24353584459144026,2,127,0.0018240720717487486,5,0.000813761946141744
59,0.43382472636571817,365,4,413,23,0.10958219351219896,3,187,0.0007832639819505565,6,0.00020304693759852155
