trial_number,value,batch_size,dropout,history_length,learning_rate,num_layers,units,weight_decay
0,0.31619716945844695,317,0.38780099303364324,94,0.00045628261751009364,1,302,0.002006646286828515
1,0.40731704378304334,260,0.3924143190459903,149,0.001044531440737831,3,225,0.00023915484357237308
2,0.8257800879634554,220,0.21230568412538853,153,0.0006884227224082755,4,128,0.009798673731255956
3,0.3629193172243161,366,0.291630039867722,105,0.0003363696458759129,2,85,0.0008163733687475315
4,0.345544316986064,215,0.14493192152752937,123,0.0005674222925695676,2,200,0.0011632939342385445
5,0.3527344149638371,324,0.3037804011348364,112,0.0008439022935276362,1,267,0.001157865804419044
6,0.3697272161811381,351,0.14203108513617116,64,0.0005004917172066579,1,264,0.006151052192087206
7,0.4298372604250908,143,0.4282139752180619,147,0.000984409915500629,4,141,0.005917152548631918
8,0.3508794616008627,285,0.13863327623874827,119,0.0004165218691825351,3,191,0.001873180196400695
9,0.3293339817045395,270,0.14589452839481387,113,0.0006703119188367792,3,225,0.0014588603448335688
10,0.30989760925307896,315,0.49386011262769447,79,0.0019710983163011464,1,384,0.00010471375191115001
11,0.34874240086450203,330,0.4885054731482595,78,0.0019024655013384528,1,382,0.0001260183459595833
12,0.3375840863560666,302,0.30445061514447547,90,0.00023467128483585097,2,383,0.00048389161984930954
13,0.33265931099493873,378,0.39838640798010877,89,0.001493952831402925,1,324,0.0029354309028771625
14,0.35666798982452436,228,0.22888840953490197,67,0.00029482383203350047,1,339,0.0001006039503913176
15,0.4356300965314958,309,0.4931410990796727,91,0.001431363312606231,2,314,0.00044263388344338106
16,0.3123120357946417,169,0.35395652795861793,100,0.00040863639089120773,1,283,0.0032558784827272924
17,0.4234271150994898,142,0.22366304803362397,135,0.0003541604395617962,2,273,0.003557558944628807
18,0.36933465533776577,179,0.3375698881945121,78,0.00025287944668077734,1,355,0.00020857130355191403
19,0.37468482289267213,187,0.11041527993760897,100,0.0002037529352885826,2,290,0.00041237678396588277
20,0.3667273143997836,186,0.2625626108065253,83,0.0019221284190971953,1,354,0.0007348441683090396
21,0.31435374165200847,339,0.36186516567980764,98,0.00045241781145749727,1,298,0.002339774345614805
22,0.2871772333355007,346,0.34925004406011784,102,0.00038579206830096247,1,247,0.003603015044786945
23,0.3338787082542463,283,0.4447609440097824,106,0.0003676872104098865,1,243,0.004430624611046
24,0.3693889447992243,355,0.327871360810573,75,0.0005525079966344932,2,175,0.006495260036421343
25,0.3421394434325942,241,0.18444538640843328,132,0.0007942066586716047,1,247,0.0039956964341746806
26,0.35579970859205773,292,0.2607697650600028,71,0.00029104890828801156,2,172,0.009673340988365581
27,0.4237512265992857,128,0.4600594181931711,85,0.0012545273776002086,1,335,0.002488046645111906
28,0.33317743751892653,341,0.35581720020119595,104,0.00040758728768506083,1,206,0.00022026454353341559
29,0.4044724541020564,168,0.4120619962248157,96,0.0005038057666709956,3,282,0.0016630728043281284
30,0.3356495589090029,320,0.269296523772689,120,0.00030389552105670694,1,246,0.0050197223827814965
31,0.3460042938028918,338,0.36934377144946623,99,0.0004571053693641,1,306,0.002505595254129077
32,0.35953914681999327,384,0.37832234517604096,95,0.0004454865918182982,1,364,0.002244284281009176
33,0.39874148683101646,367,0.33092943172220535,84,0.0005919798927099964,1,301,0.0032379093688635736
34,0.36024885495694786,253,0.39402036693532005,108,0.00037237550580622247,1,231,0.007830790621637735
35,0.3991918926467439,348,0.19347656694112908,102,0.0007519207290315688,2,295,0.0007633918653449294
36,0.4194198451218117,206,0.464112220845585,112,0.0009401081488000175,1,81,0.0012216941137326363
37,0.3825789926791886,307,0.2988680044854511,159,0.0005007988112891246,4,260,0.0003019982209463752
