trial_number,value,bagging_temperature,depth,l2_leaf_reg,learning_rate,random_strength,subsample
0,0.520396452319918,0.0011075258326998189,9,4.863469135872181,0.004210001027390208,0.7167278236791734,0.6615400946547692
1,0.3910898862791071,0.5060370957983056,8,4.2486058494642505,0.0060849009955448495,0.6215241866703984,0.8653451396559311
2,0.4877253255834338,0.955736884037152,7,4.293136145958255,0.004818830225818738,0.6413717235590026,0.7097008092537371
3,0.24396065402226336,0.07267913308556162,10,5.176937130083453,0.008784470858612534,0.4001826521229131,0.831705756170188
4,0.6420929543654432,0.696708945220168,4,5.3426688420657245,0.003968736166480683,0.14611192820759508,0.9506637011380211
5,0.12274386279749785,0.7108590773400427,12,2.028219369315485,0.012672923813738116,0.2567203408455117,0.8463131126238277
6,0.33304466435847735,0.019771394496768943,6,5.7717411551759925,0.007928156017920164,0.712083415719282,0.7139762614358888
7,0.7075958330597095,0.0018987254354272513,4,4.165983968953264,0.00310491415717123,0.33688122194687925,0.7777121880304823
8,0.65869146067143,0.026556935224896404,6,1.5970635994787927,0.0028736267518230667,0.1108264422329726,0.7890412900570217
9,0.738678931931882,0.003133818843891399,7,5.908039681589263,0.002159633682102255,0.6186849237615425,0.6085340495803326
10,0.05026825135471076,0.13293228694140546,12,1.9292356335886849,0.019608727579357044,0.2040046420487078,0.981582792848965
11,0.04182338344944858,0.1687381292984617,12,1.9942056197216642,0.021529186239897587,0.196682955696882,0.9959790430767224
12,0.0322637329896688,0.13215222633632795,12,2.431277371554659,0.02516210709842865,0.18817424911787106,0.9908764120517621
13,0.030224367500770215,0.18557826912235573,11,1.026875641125422,0.02671465625244104,0.1671758298975713,0.9117568743933535
14,0.028105370786151454,0.22150657111545832,10,1.0320148072028603,0.029558943071229634,0.10532886122085397,0.9033984151965663
15,0.028570025251186272,0.3096471807227952,10,1.02113169616466,0.029183304311984497,0.10918118213779895,0.9087108198256987
16,0.0796045472993337,0.012635148058543188,10,1.0441957917134577,0.01603128107769786,0.10147699022725054,0.8983985488061575
17,0.1528396897801739,0.3265700104825322,10,8.792152922689484,0.011854465415117671,0.12288047748288886,0.9160966193511685
18,0.03212094424810243,0.06407863649413424,9,1.3481850372634536,0.029294624222992595,0.13720904686345073,0.8171424425276729
19,0.09600541531244708,0.3220563425588532,9,1.3593322964498975,0.015502734770265808,0.4837489929580135,0.7173194383881668
20,0.05896066873303121,0.00650673546245865,11,3.2428426937685186,0.0188382458885323,0.25655440128496443,0.8833579349681224
21,0.02892979036604379,0.05903728445914394,11,1.0377756897410417,0.02740603630982115,0.1466780113304835,0.9332567935708016
22,0.040991673752840976,0.06101084608943335,11,1.2489235288900098,0.024013845793734296,0.9363324880754047,0.9369311186157552
23,0.030079061879165175,0.04496008905556362,10,1.0399676062445133,0.028217687339044083,0.13436496807248358,0.8778909099056387
24,0.15003529973726368,0.25868559575954586,11,1.569570720163342,0.011305362201412018,0.10861335457844315,0.9492194852475306
25,0.0807299765244945,0.08721332989511618,8,1.2295437479218787,0.017570653178594898,0.1602107775222613,0.8044047342398394
26,0.050999683557859596,0.4158624725931858,9,1.6135085081653078,0.021744236870100474,0.2425477862107488,0.7493725515306764
27,0.10672224493746318,0.03929326825524671,10,1.1831766581853773,0.013813377982886954,0.10136280675508735,0.8517242280293598
28,0.19470683604814848,0.014229300751894136,11,2.4905173432354473,0.009747688369925211,0.12562939876854176,0.9518366189502706
29,0.03167068511413303,0.100260436620526,9,1.441266065074525,0.02958364368728844,0.16639421985182987,0.7525503211203689
30,0.048871349924680625,0.19613751279841446,8,1.8307916607758696,0.023842776293238357,0.11997394574038935,0.6625627459264765
31,0.027752879999320697,0.03996446731708079,10,1.003039088548681,0.029942587883370286,0.14011784243809092,0.8837559984178349
32,0.04901452327246523,0.032202211827287004,10,1.1327711995630851,0.020716271649496836,0.14747591162683216,0.910349715683979
33,0.03385826673938522,0.010035673345924217,11,1.000399173067468,0.024939930448953238,0.22199718095213736,0.8661274574499079
34,0.3328587781504911,0.4948801481591225,10,1.2209132853862454,0.0064999199603172336,0.11733776940815557,0.9293532313856715
35,0.031982551914204446,0.04872002484375157,9,1.4057630289681613,0.02945730139250818,0.17617681594051882,0.826182068003653
36,0.0949137970232407,0.10513067128228641,7,1.1373131266634677,0.017255337584356982,0.14732685327933528,0.8477123127537677
37,0.04438307383294096,0.7441662544805259,10,1.693185883425245,0.02252673710704159,0.3418907668871373,0.8894734519718807
