trial_number,value,batch_size,d_model,dim_feedforward,dropout,history_length,learning_rate,nhead,num_encoder_layers,weight_decay
0,0.3805794113663895,212,224,922,0.13096652609348672,103,0.00017507905358921932,8,2,0.004612233489054293
11,0.43139387877463137,212,256,607,0.1971655668311094,101,0.0001910359834517924,8,2,9.601460797435123e-05
23,0.40602397705301824,253,256,398,0.1327617587902912,125,0.00010143841373717055,8,3,7.870181265818848e-05
24,0.3413453533611204,254,240,795,0.10001201992195957,124,0.0002352346645848503,8,3,0.0001396734917012308
34,0.41168237265643726,145,256,589,0.18745920451572182,110,0.00016400611697492659,8,2,2.4221079387065725e-05
36,0.4404992560637416,97,232,262,0.13300247556151282,122,0.00013469415691956638,4,2,1.0740301983857968e-05
39,0.34520909059669846,145,208,905,0.10698123210223003,78,0.0001275727296043896,8,4,1.6588230264170755e-05
45,0.4039176524064528,107,232,515,0.08238971860786655,94,0.0003668816814011272,8,3,4.1691700102725865e-05
48,0.5311626222692184,188,216,465,0.09822317586756982,76,0.0003633316957349321,8,6,7.255216229436922e-05
50,0.3341318605640041,109,112,985,0.0936832107730786,70,0.0002121933220210153,16,3,0.00043218485910874395
61,0.38924697029627175,143,248,581,0.2478522335288777,115,0.0001663304507750558,8,2,2.2214406937251116e-05
62,0.49496547263780055,157,248,533,0.24787605426358744,119,0.00015505197268889144,8,2,1.740519988987833e-05
67,0.3160149223912644,130,256,509,0.27696216909799753,136,0.00010447524470008385,8,2,1.30098648387164e-05
71,0.37831262440504304,154,256,501,0.0894677893362931,130,0.00010023085856690157,8,2,2.8675446874092823e-05
74,0.34756477217315507,126,240,583,0.09285851505851579,150,0.00012894579387595908,8,2,1.0607665755768242e-05
75,0.5280167137536326,140,256,593,0.2797078805980671,152,0.00012450412307827153,8,2,1.0284072607770824e-05
76,0.3682324118604499,155,240,667,0.09300884756904206,147,0.00010739958119297749,8,2,1.64217652171177e-05
77,0.33574462071989525,152,240,701,0.09242032660814525,156,0.0001005007813043011,16,2,1.8392321349467936e-05
86,0.3469108504350068,195,240,936,0.10145736230276543,159,0.0001185338607782186,8,2,1.5115040250925528e-05
89,0.41004328219770636,206,240,943,0.08641740824235469,155,0.00012441600900276918,8,2,2.0400114033416486e-05
