trial_number,value,state,parameters.history_length,parameters.d_model,parameters.nhead,parameters.num_encoder_layers,parameters.dim_feedforward,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
25,0.5291221424081894,COMPLETE,92,143,8,6,629,0.10564197937641621,107,0.00015452909285921157,1.015900132218925e-05
26,0.5291221424081894,COMPLETE,82,110,4,4,767,0.1357697636631023,227,0.0015000174155229992,4.67245030587054e-05
27,0.5291221424081894,COMPLETE,113,244,8,5,375,0.1732190063267645,146,0.000486604542144384,0.00010048998762878597
28,0.5291221424081894,COMPLETE,75,180,16,3,532,0.07325231954119787,250,0.0008367645014058261,2.0621385506220867e-05
29,0.5291221424081894,COMPLETE,62,251,4,5,584,0.05014274680516172,119,0.000648961216984768,0.0025303305622173555
30,0.5291221424081894,COMPLETE,156,222,4,2,695,0.0603466232559645,156,0.00013551239377519964,2.9918604223034152e-05
31,0.5291221424081894,COMPLETE,159,240,4,5,944,0.0585004600505862,178,0.00010020133576476716,0.007213247657968817
32,0.5291221424081894,COMPLETE,143,210,4,6,826,0.06455582926496928,203,0.0002114435941037991,0.0007963580817037782
33,0.5291221424081894,COMPLETE,153,256,16,4,481,0.2010620643628046,170,0.0001204100865635779,0.003817883796309214
34,0.5291221424081894,COMPLETE,135,231,4,5,286,0.24544873005378443,193,0.00034513519891691614,0.0005412644439984754
35,0.5291221424081894,COMPLETE,57,188,8,2,649,0.0827518338269195,90,0.00129941432987141,0.007890878438016828
36,0.5291221424081894,COMPLETE,147,143,16,3,327,0.0930591633991556,154,0.0009136136252462277,1.5230894036695174e-05
37,0.5291221424081894,COMPLETE,75,243,4,3,421,0.10631154128737441,140,0.00029282661153638863,0.001515920133574525
38,0.5291221424081894,COMPLETE,160,212,4,6,1013,0.07018307508361121,121,0.00021539379863892225,0.0013133209057955518
39,0.5291221424081894,COMPLETE,94,151,4,2,867,0.18756087747437725,167,0.0021344439053525596,0.0004647737460660202
40,0.5291221424081894,COMPLETE,115,83,8,4,616,0.07967868618960125,64,0.00014605054653941352,0.004782153773263421
41,0.5291221424081894,COMPLETE,56,191,16,2,1011,0.2311453193442825,256,0.002764035216479884,0.0003127000591390835
42,0.5291221424081894,COMPLETE,47,222,16,2,966,0.2759328655003117,244,0.002254979184562219,6.883390885680759e-05
43,0.5291221424081894,COMPLETE,80,232,16,2,559,0.21091933242169597,212,0.0011722401362328054,0.0010406376836727303
44,0.5291221424081894,COMPLETE,102,164,16,3,474,0.14621316008077073,133,0.0013770697091420707,0.0033887449475287503
45,0.5291221424081894,COMPLETE,64,248,4,2,259,0.1528729900722971,229,0.0018999740256888627,1.480357014164669e-05
46,0.5291221424081894,COMPLETE,139,218,4,3,765,0.2627923920302874,79,0.00019650930770429676,0.0021452663074762687
47,0.5291221424081894,COMPLETE,38,201,16,4,404,0.1298244356688316,201,0.0011769860219319102,0.00012522718051965348
48,0.5291221424081894,COMPLETE,49,238,4,2,878,0.11850932470808817,238,0.0001769999991424822,4.593733727030595e-05
49,0.5291221424081894,COMPLETE,89,117,4,3,683,0.23052392562505591,99,0.0010228554877560016,2.7634651058969896e-05
50,0.5291221424081894,COMPLETE,98,170,8,5,804,0.18834222427199826,160,0.00011904036115247205,0.0007130425414920562
51,0.5291221424081894,COMPLETE,150,66,16,4,450,0.22446727836382468,131,0.00023769002191442257,0.0003102549796533771
52,0.5291221424081894,COMPLETE,145,91,16,2,730,0.15791769234069067,116,0.0006411303166539905,0.0002230038351369415
53,0.5291221424081894,COMPLETE,130,74,16,3,313,0.2929609622650526,180,0.002388033456513657,1.316983665204932e-05
54,0.5291221424081894,COMPLETE,78,226,16,4,555,0.20402801641996876,112,0.00044037363630654026,0.00046177784943187284
55,0.5291221424081894,COMPLETE,152,256,8,3,587,0.1835482167611585,137,0.00028457254193692635,0.00019505259633396715
56,0.5291221424081894,COMPLETE,71,183,4,2,508,0.0655492099976258,220,0.0017135421141097746,0.0005990042993906591
57,0.5291221424081894,COMPLETE,65,197,16,2,367,0.24165882242393588,125,0.0007336136755693238,0.0001468364428029226
58,0.5291221424081894,COMPLETE,132,135,4,3,660,0.05432839711787426,185,0.0005162004986390511,1.7826776133725792e-05
59,0.5291221424081894,COMPLETE,123,94,8,5,720,0.09825997886200934,148,0.00011739220610348334,9.248381848796508e-05
60,0.5291221424081894,COMPLETE,140,120,4,4,337,0.11165040615439707,194,0.00018157057515984646,3.9579075295589874e-05
61,0.5291221424081894,COMPLETE,58,216,8,2,259,0.21621398477602982,202,0.000821709000559316,0.0014691379525273661
62,0.5291221424081894,COMPLETE,70,237,8,2,397,0.26108170971052,167,0.001426760094185373,0.009930530377293176
63,0.5291221424081894,COMPLETE,52,249,8,3,284,0.19935620261063502,174,0.001903354534688246,0.005794240538333809
64,0.5291221424081894,COMPLETE,41,247,8,2,631,0.05057155283052268,183,0.0008916206686597375,0.0026421385294271705
65,0.5291221424081894,COMPLETE,155,204,8,3,440,0.17559335973712337,151,0.000604667749571845,0.0019745676443009602
66,0.5291221424081894,COMPLETE,61,227,4,6,351,0.05804561006098588,163,0.00025128038550105615,2.6128701910745765e-05
67,0.5291221424081894,COMPLETE,85,230,16,2,304,0.16114023167020047,210,0.00013536822167899634,0.00037802831180658444
68,0.5291221424081894,COMPLETE,148,154,4,3,528,0.2792717358730907,189,0.0007104045950062385,1.001628892868156e-05
69,0.5291221424081894,COMPLETE,75,213,8,5,386,0.12761845853843418,196,0.001094303311114405,0.0010704757182804418
70,0.5291221424081894,COMPLETE,52,208,4,2,483,0.0626173396545353,142,0.0003266948014707827,0.0035120877822493995
71,0.5291221424081894,COMPLETE,35,143,8,3,283,0.08606804005429254,124,0.0012755167791799922,0.0008619343212229187
72,0.5291221424081894,COMPLETE,46,103,8,3,307,0.09696958568969431,129,0.0009132547863367948,0.0005844256101971095
73,0.5291221424081894,COMPLETE,32,191,8,4,352,0.07746499402714527,108,0.002979575762742433,0.00027089378400789866
74,0.5291221424081894,COMPLETE,60,137,8,3,613,0.08967204410421509,103,0.0011294060406059634,0.00039137731242123525
75,0.5291221424081894,COMPLETE,157,126,16,4,754,0.06995721608343522,137,0.0015606930901139221,1.2567946267780682e-05
76,0.5291221424081894,COMPLETE,40,112,4,2,332,0.05591677066820783,97,0.00015594807947876997,1.810897478245895e-05
77,0.5291221424081894,COMPLETE,42,167,8,2,941,0.110655496272485,158,0.0009647171704860444,0.0011769810012992163
78,0.5291221424081894,COMPLETE,53,235,4,5,791,0.24507033715800625,116,0.0012947603200861827,0.004596432619954569
79,0.5291221424081894,COMPLETE,66,148,16,3,426,0.21899244293937495,171,0.0018844435347542617,0.0018554707523885917
80,0.5291221424081894,COMPLETE,143,242,8,2,278,0.19381939222974862,224,0.00010471157354775339,0.0008898549587191453
81,0.5291221424081894,COMPLETE,151,174,16,4,849,0.13577515755762704,165,0.00039840256275251387,2.4503650747469564e-05
82,0.5291221424081894,COMPLETE,160,161,16,4,982,0.10260454263578801,149,0.0003182657103664437,1.569150830982731e-05
83,0.5291221424081894,COMPLETE,155,156,16,4,904,0.11764835815774811,180,0.00048264676195629725,0.0007153083076843339
84,0.5291221424081894,COMPLETE,147,129,16,4,709,0.1244328704328217,236,0.0010400458736158436,1.21122426966519e-05
85,0.5291221424081894,COMPLETE,142,224,4,6,662,0.20613968315722853,153,0.00023644716802913274,2.1963717935699324e-05
86,0.5291221424081894,COMPLETE,89,77,16,3,572,0.13450643453441938,175,0.00036413657351859816,1.3777762233693251e-05
87,0.5291221424081894,COMPLETE,135,136,4,2,688,0.07493163266290905,190,0.0001997394863598737,3.5604772070368514e-05
88,0.5291221424081894,COMPLETE,109,253,16,4,926,0.25829601005422875,134,0.0007908372500891115,1.8264099486943115e-05
89,0.5291221424081894,COMPLETE,82,180,8,5,840,0.23541425069488267,159,0.0006638263830542084,5.6976096982400814e-05
90,0.5291221424081894,COMPLETE,49,199,4,2,753,0.14321835743725297,206,0.0005709973379403109,0.00044123884010148474
91,0.5291221424081894,COMPLETE,46,66,4,6,466,0.11174878189710857,256,0.0002620041184506018,1.1624378987716707e-05
92,0.5291221424081894,COMPLETE,44,79,4,5,504,0.0923299882933171,214,0.0002207724141393784,1.5623266115200662e-05
93,0.5291221424081894,COMPLETE,37,90,4,6,256,0.10581952406704188,196,0.00016011157662997714,0.002907739147472595
94,0.5291221424081894,COMPLETE,56,73,4,5,549,0.10275872704253146,237,0.00014025873333423298,2.1784371830010013e-05
95,0.5291221424081894,COMPLETE,74,84,16,4,875,0.08441429041013081,249,0.00018319099900606566,1.0947030562307978e-05
96,0.5291221424081894,COMPLETE,69,243,4,6,640,0.11394454397675866,206,0.00012765357132356702,0.001638423748752541
97,0.5291221424081894,COMPLETE,78,70,8,2,310,0.1207029069646905,128,0.000420875244853818,0.0005112509562277843
98,0.5291221424081894,COMPLETE,63,219,4,3,599,0.26932880364332157,184,0.00030087842842262103,3.059450204551815e-05
99,0.5291221424081894,COMPLETE,153,187,16,3,1024,0.06260619211776104,145,0.0012223401071441002,0.0006616276026144674
