trial_number,value,state,parameters.history_length,parameters.d_model,parameters.nhead,parameters.num_encoder_layers,parameters.dim_feedforward,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
0,0.5291221424081894,COMPLETE,80,247,4,2,300,0.23604024417191158,180,0.0011114989443094978,1.1527987128232396e-05
1,0.5291221424081894,COMPLETE,157,224,4,3,659,0.10841479693345976,120,0.0008012737503998541,2.621087878265438e-05
2,0.5291221424081894,COMPLETE,69,134,8,4,711,0.05433947661434233,181,0.0001786013788939711,1.5673095467235405e-05
3,0.5291221424081894,COMPLETE,154,250,4,5,594,0.06222060209649933,159,0.00011240768803005555,0.00534516611064682
4,0.5291221424081894,COMPLETE,65,191,16,2,1001,0.20051209750202623,245,0.0020978213384576817,0.0006218704727769079
5,0.5291221424081894,COMPLETE,150,81,16,3,464,0.22072581716253142,132,0.00026000059117302663,0.00042470585622618684
6,0.5291221424081894,COMPLETE,50,218,8,2,260,0.21553724853816694,200,0.001193526270851053,0.0020597335357437196
7,0.5291221424081894,COMPLETE,41,133,8,3,304,0.08728935548596713,126,0.001195960383019184,0.0008178476574339542
8,0.5291221424081894,COMPLETE,146,155,16,4,848,0.12112050281716055,164,0.0004280849161757092,1.1919481947918725e-05
9,0.5291221424081894,COMPLETE,45,70,4,6,447,0.10430616762700329,209,0.00021775224101934097,1.7019223026554023e-05
10,0.5291221424081894,COMPLETE,103,196,4,2,412,0.16859393340230128,67,0.0026540025386539573,0.00010101492103280272
11,0.5291221424081894,COMPLETE,103,255,4,3,656,0.29667352408182673,88,0.0007661161323453101,7.940066030689844e-05
12,0.5291221424081894,COMPLETE,128,218,4,3,781,0.1420250430557672,131,0.0005785599429936628,6.178285281545345e-05
13,0.5291221424081894,COMPLETE,85,227,4,2,564,0.08144338130901685,107,0.0010389590734703241,3.4754521178031924e-05
14,0.5291221424081894,COMPLETE,126,176,4,3,914,0.28601615993254054,228,0.001725007968907881,0.00013747253594287428
15,0.5291221424081894,COMPLETE,86,233,4,5,526,0.1436915824297018,159,0.0003961159694864586,3.1707059853674364e-05
16,0.5291221424081894,COMPLETE,123,201,4,2,357,0.09412284920045152,190,0.0007013549429523778,0.00018266378247584866
17,0.5291221424081894,COMPLETE,67,239,4,4,737,0.11747958646270273,107,0.0016148264773322666,3.3516226889861414e-05
18,0.5291221424081894,COMPLETE,109,162,8,3,672,0.06786012594954564,172,0.0007814594258936593,1.1956795080456058e-05
19,0.5291221424081894,COMPLETE,86,107,16,5,508,0.17167609580090978,147,0.0003795979631289568,0.00023995478998858436
20,0.5291221424081894,COMPLETE,137,206,4,2,815,0.25236933658932,217,0.0009929144799708369,4.8774738022422924e-05
21,0.5291221424081894,COMPLETE,68,127,8,4,698,0.05522507968783642,190,0.00010608169900193879,2.0509018438015678e-05
22,0.5291221424081894,COMPLETE,56,128,8,4,602,0.07428226620647825,185,0.0001690697897010449,1.077649351840427e-05
23,0.5291221424081894,COMPLETE,72,101,8,3,903,0.05990569023440858,144,0.0005458802257200067,2.169390084778817e-05
24,0.5291221424081894,COMPLETE,34,175,8,4,731,0.05291471178782636,176,0.0002746785245485354,2.1494512007138016e-05
