trial_number,value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample
0,0.4913395357070743,0.6078280935798184,1.2251946043568591,0.008121301790734512,16,7,2.640189034931934,0.6138511478226452
1,0.49628820876080804,0.8479180343420194,1.9581666155266557,0.007722968717878394,20,4,0.5455701853341529,0.8048318392017317
2,0.4967381674830313,0.8855761666257963,1.1676015453703357,0.014976278667704008,23,1,2.2842748491718963,0.8908995239443926
3,0.49508220622639537,0.6967075854649325,0.197711379631596,0.00404221987193424,30,8,4.545028524451628,0.9959067493845403
4,0.4913910451557007,0.6364208212546075,0.01855709920301473,0.02129262548865075,22,1,4.148552782175206,0.8237924588916669
5,0.4992149384091635,0.9722141561306604,0.018836607144654342,0.006920731593636184,10,5,1.2969795426917463,0.8777188014821855
6,0.49934747336451535,0.9403840282634045,0.005296829549552899,0.01657320392020102,8,5,4.574972148105077,0.7573062023616169
7,0.4902796246891901,0.6974863126176252,0.00826291767232889,0.0199965766052464,5,2,4.574202184083842,0.7243319964197839
8,0.498360160466821,0.9196116773262042,0.1648249689715474,0.0034527506012815416,27,7,1.9703665963129857,0.6639399584535691
9,0.5000254181803786,0.8097643771265203,0.0031735132662212453,0.0034583239442419404,12,2,4.014181389416466,0.9916329022083304
10,0.48446578029206017,0.734503595696331,0.0014254418711520625,0.02609676134434229,4,3,0.9047478479337602,0.7087044033373221
11,0.4852176419804053,0.7283236188216942,0.001321378886959507,0.02957065118149893,4,3,1.0454428420614263,0.707377089303413
12,0.48579576805387625,0.7432648317900519,0.001026917985674608,0.029463608149631067,4,10,0.8735343617221213,0.693712508727446
13,0.49600457177120066,0.7654293005220605,0.0012272933056468383,0.027607016901596768,13,3,1.1111652229404476,0.6475862089096934
14,0.48770834170815364,0.6919408204505015,0.002328499752362168,0.002031390285244718,7,3,0.7382485252552912,0.7447134731292306
15,0.48598041016309074,0.7458281693577976,0.05871550300133351,0.011611047121232943,4,4,0.5084840393518487,0.6979886451168138
16,0.4948956385101729,0.6571359723651868,0.010257549390013335,0.011828975073177954,15,3,1.533434036775783,0.6128224441325824
17,0.49746400951480707,0.8219871925930543,0.002020678203386563,0.022222295385118808,9,6,0.8564630730732778,0.6769252255681548
18,0.4954507090855236,0.7118881827085489,0.04578597658193364,0.02998752107321517,11,4,1.07335413559263,0.7892794812724819
19,0.49197063231880805,0.8010967931265384,0.004692747646091872,0.011735906840501803,6,2,0.6726873379912278,0.7272617986081191
20,0.48567524291800956,0.6601039667276389,0.23275731242374162,0.005280500078313783,19,6,1.6586803205045946,0.8542882064557417
21,0.48564136348559667,0.6579892707882864,0.21990250230576738,0.00480107895954744,19,6,1.6831384973023662,0.8545029719475299
22,0.4932500496050396,0.7362012658607499,0.10314557231512043,0.0024177626307739495,18,9,1.2984551844394885,0.9298555538711202
23,0.49069155628552924,0.6009935553709816,0.46911778509911045,0.005133986294675085,14,5,3.0558672280636547,0.7696958718768746
24,0.4917841713071305,0.6708445703598188,0.45775741088555827,0.015278920915562478,24,7,1.0373537497453467,0.6381171766294332
25,0.4806153697275522,0.6298077010266054,0.018223871014571277,0.00940978121985852,7,4,1.6952811983291614,0.821173445097606
