model,r2,mse,rmse,mae
lstm-other-value-33,0.669017,0.000215,0.014674,0.012685
lstm-other-value-37,0.642100,0.000233,0.015259,0.013281
lstm-other-value-21,0.657983,0.000223,0.014917,0.013268
