model,r2,mse,rmse,mae
lstm-other-value-33,-0.197783,0.001317,0.036284,0.030846
lstm-other-value-37,-0.279487,0.001406,0.037501,0.030346
lstm-other-value-21,0.037117,0.001058,0.032532,0.025750
