trial_number,value
0,0.10016412810245534
1,0.10097305514526886
2,0.10209516395746544
3,0.10249252549875322
4,0.10349113712278867
5,0.10386240011380042
6,0.10490859289442787
7,0.10564768727328866
8,0.105802515189193
9,0.1058441030256676
10,0.1058749060441808
11,0.10590972603824728
12,0.10622237074980569
13,0.1063408425591551
14,0.10635336565418191
15,0.10658831055360247
16,0.1068755209631061
17,0.10722015963405938
18,0.10735423410333013
19,0.1076889219330877
20,0.10812782211652798
21,0.10830609931328751
22,0.1084020648393362
23,0.10894580485803293
24,0.10923111294352972
25,0.10924730720514934
26,0.10929145519771884
27,0.10956795189045707
28,0.10959681617595912
29,0.10965729762126018
30,0.1100224782289952
31,0.1100267425979419
32,0.11009943020436745
33,0.11014097815135182
34,0.11024311694301242
35,0.11024755336434008
36,0.11028093791499202
37,0.11032420068613591
38,0.11045894759170369
39,0.11053155839736825
40,0.11059548900593787
41,0.11061299559783175
42,0.1108118532897485
43,0.11117542942413558
44,0.11146511573333281
45,0.11149299199228095
46,0.11156387970997737
47,0.11175650740089128
48,0.11200426427778483
49,0.11212312974608861
50,0.11217930289619726
51,0.11238238148287578
52,0.11238792853948144
53,0.11245220919994459
54,0.11270933216575331
55,0.11282250958447224
56,0.11283092397563863
57,0.11301592405236095
58,0.11306771030677444
59,0.11309961330603009
60,0.11332317388515652
61,0.11345252911335753
62,0.11345762308061558
63,0.11350815980334769
64,0.11351661384105682
65,0.11353232108563605
66,0.11371753527334272
67,0.11385350304136055
68,0.11405565814487749
69,0.1140734266831679
70,0.11419913696399035
71,0.11438642299171652
72,0.11441867571166964
73,0.11448252762942288
74,0.11450681686401368
75,0.11482384842846675
76,0.11512443911945623
77,0.11517676535774679
78,0.11522075437744916
79,0.11551937705047761
80,0.11567972491601271
81,0.1158341068209467
82,0.11622734092720674
83,0.11656556492711341
84,0.11660365912039114
85,0.11693268398757693
86,0.11780205802083603
87,0.11812985819928787
88,0.11821971851822816
89,0.11829430492038198
90,0.11833124388225133
91,0.11895739965804733
92,0.119046748892201
93,0.11944447173431165
94,0.11952405861037933
95,0.12019468841216076
96,0.12072286624306007
97,0.12103628723243018
98,0.12104680572318575
99,0.12111177215828776
100,0.12131251635501843
101,0.1214127242475443
102,0.12143809775384759
103,0.12154233511116826
104,0.12219985482105956
105,0.12233616297490128
106,0.12235792746219032
107,0.12257756135918993
108,0.12298482154132503
109,0.12343197846584184
110,0.12398165881633759
111,0.1241141785978523
112,0.12412052498108116
113,0.12532913226906847
114,0.12842655690551738
115,0.12963635155132838
116,0.1310118920631913
117,0.1333180574399509
118,0.1347814604400557
119,0.13704020464126418
120,0.14049709865025112
