trial_number,value,batch_size,dropout,learning_rate,mid_layer_count,mid_layer_size,weight_decay
0,0.4219052727985759,156,0.14654925806977737,0.00050681079137597,5,392,0.0001599915761157976
1,0.43970642001160387,74,0.10187947295910829,0.0005560474178469485,4,214,7.884808299275453e-05
2,0.4079671302028863,211,0.08853435080460419,0.00044772973137578514,3,295,0.0002167782179860075
3,0.38202786634090863,128,0.24338301285148775,0.00017759356087572727,2,318,0.0024065982588432153
4,0.36357748606055557,130,0.05880045399696869,0.0020575519324483576,2,304,0.009088760658579772
5,0.33489565329993265,149,0.16216519020161707,0.0007313737719066655,5,299,0.00015332183984950886
6,0.48166924341461337,64,0.11757337517371039,0.0005156405671239788,5,258,2.878803549614922e-05
7,0.4129008240345708,177,0.1777818088357104,0.0003670839765118174,3,400,0.00039765765304292035
8,0.4017376310698465,215,0.07146668822891657,0.0007247703035330523,4,365,7.943540510595716e-05
9,0.4200722325460713,241,0.3518895230453231,0.0006171401763063834,5,440,0.0015081116383066297
10,0.3058699090002217,106,0.22555408445027905,0.0017239938137406559,4,133,1.045835812844591e-05
11,0.3906101743542899,102,0.21443062194049023,0.0017712586127445315,4,140,1.4445700699662338e-05
12,0.47929169507702485,111,0.3105424162653117,0.0011617475205859765,5,140,1.300317283402879e-05
13,0.3639037060634959,169,0.1590862307460106,0.0012042934090742985,4,482,0.0007112735999208144
14,0.42568621779820937,143,0.2600559665529951,0.0028867599529698255,3,208,3.418279215087632e-05
15,0.5161788166158284,107,0.20536164429689222,0.0010244053207551242,5,207,5.4509557731867034e-05
16,0.37575992840047207,187,0.12830949703569464,0.00016401089448108712,4,504,1.1314482554884793e-05
17,0.48959250641299934,90,0.2833384322785075,0.001592909948890722,5,250,0.0005784120777919047
18,0.3673377978825286,147,0.18721653301337682,0.00026132181999493427,4,179,0.005394735248566019
19,0.44180580385908574,121,0.3920147903240013,0.0008456747753932102,3,342,0.00014200600965466395
20,0.3683119749009845,203,0.10107355968756575,0.0028975076639131277,5,265,2.7819101752221346e-05
21,0.35930870175109214,135,0.05339830355044775,0.0018653725475131964,2,307,0.008492123038743124
22,0.39454163166676987,90,0.057042672186336345,0.0014135154966357572,2,352,0.0019017125248894922
23,0.4208880614705977,146,0.07490772512069946,0.0022177563593244972,3,288,0.001215719807390281
24,0.3525799418037588,161,0.05000014149857828,0.000918470860828801,2,443,0.0038813676554319537
25,0.3556565410130984,184,0.15982024305064313,0.0008993959723323787,4,427,0.0035764298045485882
26,0.3788094137059572,163,0.21993612718566224,0.00037407770532974004,3,457,0.00032279067807663856
27,0.3811797662298939,195,0.13010282282158733,0.00010264011617345084,2,171,0.0010454453678975452
28,0.3263731719174,251,0.1792888904425484,0.001273968235957342,4,387,0.0036779770704189582
29,0.3529461359469518,251,0.15638681067223653,0.0013825649362742129,4,388,0.0001452613872473477
30,0.3890652602032576,228,0.1866773821867392,0.0022056052556049394,5,406,2.1524749058159347e-05
31,0.3517081579377529,157,0.14249987323206373,0.0007502471852572306,4,374,0.0034714751143840182
32,0.2945946430517145,157,0.1491425504886384,0.0007281060671735243,4,340,0.0050191515857993235
33,0.45006097350448354,85,0.11142094065538617,0.0005824089652948983,4,338,0.005683757305913379
34,0.5053310483138754,121,0.22994549707516493,0.0011345852269572705,4,239,8.259694959801809e-05
35,0.4005252041010989,227,0.17301307989783854,0.00042558180130481587,4,327,0.0024258601019674407
36,0.40901312561004194,181,0.13959019993950011,0.000700694086210034,5,417,0.00020151422127178062
37,0.4118320306837727,170,0.2629406994696315,0.0014130223709219439,3,286,0.0007994481945835022
38,0.4257130318866619,73,0.20068720433838408,0.0002719786942119047,5,382,5.2068043028063436e-05
39,0.47405311833795755,136,0.09798733600446508,0.0006396484653379585,4,354,0.0005033315244043912
40,0.3871125576524395,122,0.11888267640827914,0.0004657437777234576,5,176,0.00025148382892130404
41,0.407358477095101,153,0.1442781022648389,0.000768774481249547,4,371,0.002931005565097353
42,0.29667808957721875,154,0.17192151797720692,0.0010412247776107164,4,325,0.007132429430443393
43,0.38576014965082683,173,0.17054131432862732,0.0010042699745845527,4,273,0.001980303505791904
44,0.34164157052924576,193,0.241968975069544,0.0012457266733552912,4,327,0.006700305460382866
45,0.3333944734764395,213,0.19016838555209514,0.0005434477943224263,3,313,0.009482970956715124
46,0.2969210427117711,251,0.18924341092832045,0.000515171329850462,3,235,0.009474509563718737
47,0.3649428896753213,256,0.2996125636510908,0.0018324617235898784,3,223,0.005498563853218357
48,0.35130312000540675,243,0.20134067418215004,0.0015956778503213832,4,154,0.007173405850399294
49,0.3416863852204205,232,0.22676987568787982,0.0024176243748741527,3,128,0.004331182572393992
50,0.3062065901105381,221,0.25622831979133237,0.0010251004270970397,4,230,0.004507358102295086
51,0.39507859594434214,239,0.2699841401896421,0.0010485633321834066,4,200,0.004653496592808812
52,0.3274181495230794,249,0.3296203858130086,0.0008821361552545775,4,276,0.007388769567520389
53,0.34804123018687894,217,0.24311507931767304,0.0006530656608879084,4,361,0.009072644417410413
54,0.4204120238678123,204,0.17830629290475594,0.0012834385109330583,4,188,0.002798381998235365
55,0.4135762865869155,220,0.2132565012717794,0.0016604960150267767,4,233,0.0016305415226281813
56,0.30896743509407304,236,0.15530821625042507,0.0007946908422611269,3,163,0.00608982647934797
57,0.3451914597977897,234,0.15444540422937794,0.00030817539119887407,3,148,0.0062264600845823165
58,0.36399853465114185,112,0.12974556830058553,0.0005120233513273243,3,167,0.00969634036495992
59,0.3498635079347771,206,0.19713754220634264,0.00042342966809136263,3,254,0.004743129080758769
60,0.41447104240190774,142,0.16660765511915832,0.0006037016343435665,3,195,0.00010638206524436111
61,0.34662278773991956,245,0.18406413676560812,0.00078778912059237,4,128,0.003247953700642175
62,0.35020020632741145,256,0.1513232544040881,0.0011007948803610917,4,297,0.007341393461261266
63,0.347958084563964,226,0.1364053881719825,0.000990403549436159,4,157,0.003934331563615521
64,0.3469330592555289,237,0.21355884551870738,0.001494562152357419,3,213,0.0024486732363502703
65,0.5295801966254957,100,0.11925307866279923,0.0008466219894487106,4,330,0.0059440241307500835
66,0.3581697235903048,222,0.28388159463528484,0.0013041868701466407,4,397,0.004559275935667823
67,0.41149789595556824,247,0.16384596658126693,0.0006961596614087161,3,344,1.6248381556387893e-05
68,0.34665960807170254,128,0.24920218552315335,0.0009404092583973727,4,241,0.008244391051356097
