run_id,status,best_val_loss,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,moved_param,new_value
0001,success,0.000127,0.8,0.0,0.1,8,2,1.0,0.9,,
0002,success,0.000126,0.8,0.0,0.1,8,1,1.0,0.9,min_child_weight,1
0003,success,0.000119,0.8,0.0,0.1,6,1,1.0,0.9,max_depth,6
0004,success,0.000113,0.8,0.0,0.1,6,1,1.0,0.85,subsample,0.85
0005,success,0.000113,0.8,0.0,0.1,6,2,1.0,0.85,min_child_weight,2
