rank,model,val_loss,test_loss,best_epoch
1,MLP,0.0,0.0,1
2,TRANSFORMER,0.316144687222575,1.159222644023611,31
3,XGBOOST,0.3258046106584057,1.8567287946740787,N/A
4,RNN,0.333257518512638,1.246486153448926,8
5,LIGHTGBM,0.3419311770058864,1.8528727800519798,N/A
6,GRU,0.3787205289294688,1.3671752153263148,5
7,LSTM,0.3809907807167186,1.2308820550678883,18
8,MAMBA,0.4262869331213805,1.614314290735593,35
9,CATBOOST,0.4520939541811235,2.094129133892799,N/A
